Rank,Brand,Product Category,Points,,
133,Loto - Quebec,Leisure & Entertainment,28.6,,
137,Bank Of New Zealand,Financial Services,28.3,,
138,Fire Ready Victoria,"Non-profit, public sector & education",28.2,,
139,Pepsi,Soft Drinks,27.4,,
139,Canadian Down Syndrome Society,"Non-profit, public sector & education",27.4,,
139,Transport Accident Commission Victoria,"Non-profit, public sector & education",27.4,,
139,The Automobile Club Of Romania,"Non-profit, public sector & education",27.4,,
139,Spotify,Media & Publishing,27.4,,
139,Saudi Telecom Company,Telecoms & Utilities,27.4,,
145,Wyeth Nutrition,Household & Domestic,27.0,,
146,Beats By Dre,Technology & Electronics,25.8,,
147,Nana,Toiletries & Cosmetics,25.4,,
147,HSBC,Financial Services,25.4,,
149,Philips,Household & Domestic,24.9,,
149,KeyBank,Financial Services,24.9,,
149,Churchill,Financial Services,24.9,,
149,SmartLife,"Non-profit, public sector & education",24.9,,
153,Manulife,Financial Services,24.8,,
154,Bose,Technology & Electronics,23.9,,
155,Signal Toothpaste,Toiletries & Cosmetics,23.7,,
156,The Steve Waugh Foundation,"Non-profit, public sector & education",23.2,,
157,Instituto AzMina,"Non-profit, public sector & education",22.9,,
157,Grolsch,Alcoholic Drinks,22.9,,
157,Accenture,Business & Industrial,22.9,,
160,Noisy May,Retail,22.3,,
160,Jack Link's Jerky,Food,22.3,,
160,Lexus,Automotive,22.3,,
160,Lucozade,Soft Drinks,22.3,,
160,Federation For Internet Alerts,"Non-profit, public sector & education",22.3,,
160,Smirnoff,Alcoholic Drinks,22.3,,
160,Starbucks,Retail,22.3,,
160,Thames 21,"Non-profit, public sector & education",22.3,,
160,Meat & Livestock Australia,Food,22.3,,
169,Clear Men,Toiletries & Cosmetics,21.2,,
169,Great Barrier Reef,Transport & Tourism,21.2,,
171,Greenpeace,"Non-profit, public sector & education",21.1,,
172,John Lewis,Retail,20.9,,
173,Intel,Technology & Electronics,20.6,,
174,Ben and Jerry's Ice-Cream,Food,20.5,,
174,Fido,Telecoms & Utilities,20.5,,
174,Cigna,Pharma & Healthcare,20.5,,
177,Edeka,Retail,20.1,,
177,De Standaard,Media & Publishing,20.1,,
179,SafeKids Aotearoa,"Non-profit, public sector & education",20.0,,
179,KitKat,Food,20.0,,
179,Linicin,Pharma & Healthcare,20.0,,
179,Ministerio Del Interior de Colombia,"Non-profit, public sector & education",20.0,,
179,Change4Life,"Non-profit, public sector & education",20.0,,
179,Levi's,Clothing & Accessories,20.0,,
179,BBVA,Financial Services,20.0,,
179,Warner Bros,Media & Publishing,20.0,,
187,Subway,Retail,19.9,,
188,Softlogic Life,Financial Services,19.8,,
189,Rin,Household & Domestic,19.7,,
189,Visit Faroe Islands,Transport & Tourism,19.7,,
