Rank,Brand,Product Category,Points,,
1,Burger King,Retail,391.6,,
2,Nike,Clothing & Accessories,208.2,,
3,Pedigree,Household & Domestic,200.1,,
4,Palau Legacy Project,"Non-profit, public sector & education",200.0,,
5,Bodyform/Libresse,Toiletries & Cosmetics,199.5,,
6,IKEA,Retail,198.7,,
7,The ALS Association,"Non-profit, public sector & education",189.5,,
8,Diesel,Clothing & Accessories,177.7,,
9,Skittles,Food,177.6,,
10,McDonald's,Retail,170.9,,
11,Xbox,Technology & Electronics,169.1,,
12,Tide,Household & Domestic,154.8,,
13,KFC,Retail,150.4,,
14,Procter & Gamble,Toiletries & Cosmetics,147.3,,
15,Samsung,Technology & Electronics,142.4,,
16,Marmite,Food,139.1,,
17,Apple,Technology & Electronics,138.4,,
18,Audi,Automotive,130.2,,
19,The Times of India,Media & Publishing,128.9,,
20,Greenpeace,"Non-profit, public sector & education",123.6,,
21,The Times,Media & Publishing,111.5,,
22,Reclame Aquí,Media & Publishing,110.1,,
23,Downtown Records,Leisure & Entertainment,107.2,,
24,Vive Digital Program,Technology & Electronics,105.6,,
25,Getty Images,Business & Industrial,99.8,,
26,National Safety Council,"Non-profit, public sector & education",99.6,,
27,PFLAG Canada,"Non-profit, public sector & education",96.8,,
28,LEGO,Leisure & Entertainment,91.8,,
29,State Street Global Advisors,Financial Services,89.6,,
30,The Ticket-Shoe,Clothing & Accessories,87.1,,
31,Trash Isles,"Non-profit, public sector & education",86.9,,
32,Snickers,Food,86.8,,
33,Volkswagen,Automotive,83.4,,
34,DOT,Technology & Electronics,81.9,,
35,Budweiser,Alcoholic Drinks,77.1,,
36,Kingo Energy,Telecoms & Utilities,74.6,,
37,Asha Ek Hope Foundation,"Non-profit, public sector & education",74.2,,
38,EDEKA Zentrale,Retail,72.2,,
39,Beau Monde,Media & Publishing,70.4,,
40,HBO,Media & Publishing,70.0,,
41,Volvo,Automotive,67.6,,
42,FIFA,Leisure & Entertainment,66.9,,
43,Nissan,Automotive,64.8,,
44,The Grammy Awards,Leisure & Entertainment,63.7,,
45,UNICEF,"Non-profit, public sector & education",60.4,,
46,Steinlager,Alcoholic Drinks,58.5,,
47,Aldi,Retail,55.0,,
48,Kiwi,Household & Domestic,53.4,,
49,Carrefour,Retail,53.0,,
50,NeuroDigital,Technology & Electronics,52.9,,
51,Amazon,Retail,51.2,,
52,Comedy Central,Media & Publishing,50.0,,
53,Go Gentle Australia,"Non-profit, public sector & education",48.7,,
54,Red Cross,"Non-profit, public sector & education",46.8,,
55,Parisian Road Safety Authority,"Non-profit, public sector & education",46.5,,
56,March For Our Lives,"Non-profit, public sector & education",45.8,,
57,Sambito,"Non-profit, public sector & education",44.9,,
58,Stabilo,Household & Domestic,44.3,,
59,Country Time,Soft Drinks,44.1,,
60,MGM Resorts International,Leisure & Entertainment,43.3,,
61,Tourism Australia,Transport & Tourism,42.5,,
62,adidas PureBoost,Clothing & Accessories,42.4,,
63,Banana-Flavored Milk,Soft Drinks,41.9,,
64,UN Women,"Non-profit, public sector & education",41.3,,
65,Alliance Francaise de Singapour Cine-Club,Leisure & Entertainment,41.2,,
66,Sanlam,Financial Services,40.9,,
67,Banco Bradesco,Financial Services,39.7,,
67,JBL,Technology & Electronics,39.7,,
69,Calm,"Non-profit, public sector & education",39.1,,
70,Glasgow School of Art,"Non-profit, public sector & education",38.9,,
70,France Télévisions,Media & Publishing,38.9,,
72,Reporters Without Borders,"Non-profit, public sector & education",38.7,,
73,The New York Times,Media & Publishing,37.5,,
74,Noblex,Retail,37.2,,
75,Bacardi,Alcoholic Drinks,37.1,,
76,Coca-Cola,Soft Drinks,36.7,,
77,MailChimp,Technology & Electronics,36.3,,
78,Sense International India,"Non-profit, public sector & education",35.5,,
79,Netsafe,"Non-profit, public sector & education",35.3,,
80,Double A,Business & Industrial,35.2,,
81,Sberbank,Financial Services,34.9,,
82,Hermes Pardini,Pharma & Healthcare,34.2,,
83,Carling Black Label,Alcoholic Drinks,34.0,,
84,Snaptivity,Technology & Electronics,33.7,,
85,Change The Ref,"Non-profit, public sector & education",33.4,,
86,Swann Insurance,Financial Services,33.0,,
87,K Plus,Financial Services,32.7,,
88,Casey House,"Non-profit, public sector & education",32.4,,
89,Google Cloud,Technology & Electronics,32.3,,
90,Kobe Shimbun Disaster Prevention,Media & Publishing,31.8,,
90,Tele2,Telecoms & Utilities,31.8,,
92,National Geographic,Media & Publishing,31.5,,
93,Mercedes-Benz,Automotive,31.0,,
94,Spotify,Media & Publishing,30.9,,
95,Gatorade,Soft Drinks,30.8,,
96,Joburg Ballet,Leisure & Entertainment,30.7,,
96,National Down Syndrome Society,"Non-profit, public sector & education",30.7,,
98,AJE,"Non-profit, public sector & education",30.5,,
99,Louvre,Transport & Tourism,30.2,,
100,Sagawa Shoyu,Food,30.0,,
100,Great Barrier Reef Foundation,"Non-profit, public sector & education",30.0,,
102,adidas,Clothing & Accessories,29.3,,
103,Sprint,Telecoms & Utilities,29.2,,
104,Wendy's,Retail,29.1,,
105,Alepa,Retail,28.8,,
106,Queensland Police,"Non-profit, public sector & education",28.7,,
107,CarMax,Automotive,28.4,,
108,Cerveza Poker,Alcoholic Drinks,27.6,,
109,KitKat,Food,27.0,,
110,Carsales,Automotive,26.4,,
111,AIG Insurance,Financial Services,26.1,,
112,Verizon,Telecoms & Utilities,25.9,,
113,NGO Women's Right Center,"Non-profit, public sector & education",25.7,,
114,Madrid Booksellers,Leisure & Entertainment,25.3,,
114,Cochlear,Pharma & Healthcare,25.3,,
116,Lyric Opera Of Chicago,Leisure & Entertainment,24.9,,
117,Sandy Hook Promise,"Non-profit, public sector & education",24.6,,
118,Kayak,Transport & Tourism,24.5,,
119,Hyundai Motor Company,Automotive,24.4,,
119,Paytm,Financial Services,24.4,,
121,Movistar,Telecoms & Utilities,24.3,,
122,Nike Women,Clothing & Accessories,24.2,,
123,Autonomous Broadcast Network,Technology & Electronics,24.1,,
124,JCDecaux,Business & Industrial,23.4,,
125,Sony Music Entertainment,Leisure & Entertainment,23.3,,
126,Oh Henry!,Food,23.1,,
126,Handicap International,"Non-profit, public sector & education",23.1,,
128,FELGTB,"Non-profit, public sector & education",23.0,,
129,Canadian Paralympic Committee,"Non-profit, public sector & education",22.9,,
130,Xfinity Mobile,Telecoms & Utilities,22.8,,
131,Telefónica,Telecoms & Utilities,22.7,,
132,Loto Libanaise,Leisure & Entertainment,22.5,,
133,Advanced Wireless Network,Telecoms & Utilities,22.4,,
134,Deutsche Telekom,Telecoms & Utilities,22.1,,
135,Prince of Wales Hospital,Pharma & Healthcare,22.0,,
136,Project Nanhi Kali,"Non-profit, public sector & education",21.5,,
137,Cogy,Technology & Electronics,21.4,,
137,GOL Airlines,Transport & Tourism,21.4,,
139,John Lewis & Partners,Retail,21.2,,
139,Pond's,Toiletries & Cosmetics,21.2,,
141,Ben & Jerry's,Food,21.0,,
142,Libération,Media & Publishing,20.9,,
143,TyC Sports,Media & Publishing,20.8,,
144,Voiz Waffle,Food,20.7,,
145,Toyota,Automotive,20.5,,
146,Shutterstock,Media & Publishing,20.3,,
147,Forbes,Media & Publishing,20.1,,
148,Amnesty International,"Non-profit, public sector & education",20.0,,
148,Commonwealth Bank,Financial Services,20.0,,
150,GEICO,Financial Services,19.9,,
151,Fox Premium,Media & Publishing,19.6,,
151,United Against ALS,Technology & Electronics,19.6,,
153,United States Postal Service,Telecoms & Utilities,19.5,,
153,Goiko Grill,Retail,19.5,,
153,Free A Girl,"Non-profit, public sector & education",19.5,,
153,Melbourne International Film Festival,Leisure & Entertainment,19.5,,
153,Klarna,Retail,19.5,,
158,Huggies,Toiletries & Cosmetics,19.3,,
159,Netflix,Media & Publishing,19.2,,
159,Libero,Media & Publishing,19.2,,
161,Play-Doh,Leisure & Entertainment,19.1,,
162,Honda,Automotive,19.0,,
163,Renault,Automotive,18.7,,
163,Pictionary,Leisure & Entertainment,18.7,,
163,Scrabble,Leisure & Entertainment,18.7,,
166,Airbnb,Transport & Tourism,18.1,,
167,Ministry of Public Health,"Non-profit, public sector & education",17.8,,
167,Cybersmile,"Non-profit, public sector & education",17.8,,
167,IBM Watson,Technology & Electronics,17.8,,
170,BBC One,Media & Publishing,17.4,,
171,Fotawa,Food,17.2,,
172,Cigna,Pharma & Healthcare,17.0,,
173,POWA,"Non-profit, public sector & education",16.9,,
174,Reporter Magazine,Media & Publishing,16.8,,
175,NRMA Insurance,Financial Services,16.7,,
175,Women's Equality Party,"Non-profit, public sector & education",16.7,,
175,Samsung Gear VR,Technology & Electronics,16.7,,
175,OVK (Parents of Road Victims),"Non-profit, public sector & education",16.7,,
179,CARE,"Non-profit, public sector & education",16.6,,
180,Orange,Telecoms & Utilities,16.3,,
181,DB Export,Alcoholic Drinks,16.2,,
181,OL Pejeta Conservancy,"Non-profit, public sector & education",16.2,,
183,Centro Clinico Nemo,"Non-profit, public sector & education",16.1,,
184,Vodafone,Telecoms & Utilities,15.9,,
184,United Airlines,Transport & Tourism,15.9,,
186,Tracking Systems de México,Technology & Electronics,15.8,,
187,Huffington Post,Media & Publishing,15.5,,
188,Lacoste,Clothing & Accessories,15.4,,
188,Radio.net,Media & Publishing,15.4,,
190,Save The Children,"Non-profit, public sector & education",15.2,,
190,7-Eleven,Retail,15.2,,
192,Ammeloo Chef's Edition Knife Series,Household & Domestic,14.9,,
192,AAMI,Financial Services,14.9,,
192,Euskal Irrati Telebista,Media & Publishing,14.9,,
195,Stayfree,Toiletries & Cosmetics,14.7,,
195,Carefree,Toiletries & Cosmetics,14.7,,
197,Nando's,Retail,14.6,,
198,PayPal,Financial Services,14.5,,
199,Banco Santa Fe,Financial Services,14.3,,
200,Hornbach,Household & Domestic,14.2,,
201,Aeroméxico,Transport & Tourism,13.6,,
201,Intel,Technology & Electronics,13.6,,
201,Honduran Education Department,"Non-profit, public sector & education",13.6,,
204,Loto de Polla Chilena,Leisure & Entertainment,13.5,,
204,Interreligious Dialogue,"Non-profit, public sector & education",13.5,,
