Rank,Brand,Product Category,Points,,
134,Women's Aid,"Non-profit, public sector & education",22.7,,
135,Reese's Puffs,Food,22.6,,
136,The Division 2,Technology & Electronics,22.1,,
137,FELGTB / eldiario.es,"Non-profit, public sector & education",21.4,,
137,Homepro,Retail,21.4,,
139,Twix,Food,21.3,,
140,Turkcell,Telecoms & Utilities,21.2,,
140,Philadelphia,Food,21.2,,
142,Go Equal,"Non-profit, public sector & education",21.1,,
142,Yo Quiero Yo Puedo,"Non-profit, public sector & education",21.1,,
142,Philips / Nelson Mandela Foundation,Technology & Electronics,21.1,,
145,Movimento SuperAção,"Non-profit, public sector & education",20.8,,
146,Tagasaki City,Transport & Tourism,20.5,,
146,Google Arts & Culture,Media & Publishing,20.5,,
146,Swiggy,Retail,20.5,,
149,Jimmy Nelson Foundation,"Non-profit, public sector & education",20.3,,
150,Patagonia,Retail,20.1,,
151,Petz,Retail,20.0,,
152,Saudi Telecom Company,Telecoms & Utilities,19.9,,
153,Special Olympics,Leisure & Entertainment,19.6,,
153,Back Market,Retail,19.6,,
155,Game of Thrones,Media & Publishing,19.1,,
155,JMS,Retail,19.1,,
157,German Youth Association of People with Hearing Loss,"Non-profit, public sector & education",18.8,,
158,NeuroGen Brain & Spine Institute,Pharma & Healthcare,18.5,,
159,Absolut,Alcoholic Drinks,18.0,,
159,Da Se Zna,"Non-profit, public sector & education",18.0,,
159,Domino's,Retail,18.0,,
162,Vauxhall,Automotive,17.9,,
163,Call of Duty,Technology & Electronics,17.8,,
164,Emirates NBD,Financial Services,17.4,,
165,Ben & Jerry's,Food,17.3,,
165,GEICO,Financial Services,17.3,,
167,Toyota,Automotive,17.2,,
168,Carrefour,Retail,17.1,,
168,France Télévisions,Media & Publishing,17.1,,
168,Thomson Reuters Foundation,"Non-profit, public sector & education",17.1,,
168,El Tiempo,Media & Publishing,17.1,,
172,The North Face,Clothing & Accessories,17.0,,
173,Auchan,Retail,16.8,,
174,Guaraná Antarctica,Soft Drinks,16.7,,
174,LOSEV,"Non-profit, public sector & education",16.7,,
176,MTN,Telecoms & Utilities,16.5,,
177,Telemundo,Media & Publishing,16.4,,
178,BMW,Automotive,16.2,,
178,Lysoform,Household & Domestic,16.2,,
180,Fukushima Minpo News,Media & Publishing,15.8,,
181,Voice of the Children,"Non-profit, public sector & education",15.6,,
181,Google,Technology & Electronics,15.6,,
183,WWF,"Non-profit, public sector & education",15.2,,
184,The Simpsons,Media & Publishing,15.1,,
185,Easy,Retail,15.0,,
186,Lotto,Leisure & Entertainment,14.9,,
186,Clear Channel,Media & Publishing,14.9,,
186,Fukushima Minpo News / Radio Fukushima,Media & Publishing,14.9,,
186,Ariel,Household & Domestic,14.9,,
190,Motel 6,Transport & Tourism,14.8,,
190,K's Galleries,"Non-profit, public sector & education",14.8,,
190,Porsche,Automotive,14.8,,
193,Sanlam,Financial Services,14.6,,
193,Shiseido,Toiletries & Cosmetics,14.6,,
195,Citroën,Automotive,14.4,,
196,Halo Top,Food,14.3,,
197,Pedigree,Household & Domestic,14.2,,
198,Jat Paints,Household & Domestic,14.1,,
198,Trapa,Food,14.1,,
198,Offset,Business & Industrial,14.1,,
201,UNESCO / The New York Times,"Non-profit, public sector & education",13.8,,
202,Land Rover,Clothing & Accessories,13.7,,
202,Loterias y Apuestas del Estado,Leisure & Entertainment,13.7,,
202,Baco Exu do Blues,Media & Publishing,13.7,,
202,Lyric Opera of Chicago,Leisure & Entertainment,13.7,,
206,Popeyes,Retail,13.6,,
207,Kraft,Food,13.5,,
208,Nissin,Food,13.4,,
209,Foxtel,Media & Publishing,13.3,,
209,DB Export,Alcoholic Drinks,13.3,,
209,Starhub,Telecoms & Utilities,13.3,,
212,Casey House,"Non-profit, public sector & education",13.2,,
212,Connect,Telecoms & Utilities,13.2,,
214,TV Rain,Media & Publishing,13.1,,
215,VEGI-BUS,Retail,12.9,,
216,du,Telecoms & Utilities,12.7,,
217,Perfil,Media & Publishing,12.6,,
218,KADAV / Bahçeşehir University,"Non-profit, public sector & education",12.4,,
218,Lidl,Retail,12.4,,
220,Fully Booked,Retail,12.3,,
220,Hope Bridge / Seoul Metropolitan Government,"Non-profit, public sector & education",12.3,,
220,Soh,Food,12.3,,
