Rank,Agency Name,City,Agency Type,Agency Location,Independent?,Product Category,Points
1,FP7 McCann,Dubai,Creative Agency,United Arab Emirates,,"Automotive, Business & Industrial, Financial Services, Food, Household & Domestic, Retail, Soft Drinks, Telecoms & Utilities, Toiletries & Cosmetics, Transport & Tourism",138.7
2,AMV BBDO,London,Creative Agency,UK,,"Food, Household & Domestic, Non-profit, public sector & education, Toiletries & Cosmetics",98.8
3,CHE Proximity,Melbourne,Creative Agency,Australia,,Financial Services,91.5
4,McCann,New Delhi,Creative Agency,India,,"Clothing & Accessories, Financial Services, Food, Household & Domestic, Non-profit, public sector & education, Retail, Soft Drinks, Technology & Electronics, Transport & Tourism",91.2
5,DDB,Auckland,Creative Agency,New Zealand,,"Alcoholic Drinks, Financial Services, Leisure & Entertainment, Non-profit, public sector & education, Retail, Transport & Tourism",80.3
6,Ogilvy,Mumbai,Creative Agency,India,,"Automotive, Food, Household & Domestic, Non-profit, public sector & education, Pharma & Healthcare, Soft Drinks, Telecoms & Utilities, Toiletries & Cosmetics",80.0
7,adam&eveDDB,London,Creative Agency,UK,,"Food, Non-profit, public sector & education, Technology & Electronics",78.0
8,Saatchi & Saatchi,New York,Creative Agency,USA,,"Household & Domestic, Non-profit, public sector & education",77.2
9,McCann,New York,Creative Agency,USA,,"Household & Domestic, Media & Publishing, Non-profit, public sector & education, Pharma & Healthcare, Telecoms & Utilities",75.3
10,Energy BBDO,Chicago,Creative Agency,USA,,"Food, Non-profit, public sector & education, Retail",74.4
11,Hearts & Science,New York,Media Agency,USA,,"Household & Domestic, Telecoms & Utilities, Toiletries & Cosmetics",70.3
12,Mindshare,Mumbai,Media Agency,India,,"Automotive, Food, Household & Domestic, Toiletries & Cosmetics",70.1
13,I&S BBDO,Tokyo,Creative Agency,Japan,,Transport & Tourism,69.1
14,Droga5,New York,Creative Agency,USA,,"Business & Industrial, Non-profit, public sector & education, Retail, Technology & Electronics, Toiletries & Cosmetics, Transport & Tourism",67.0
15,Mother,London,Creative Agency,UK,X,"Alcoholic Drinks, Non-profit, public sector & education, Retail",63.5
16,PHD,Chicago,Media Agency,USA,,"Non-profit, public sector & education",62.5
17,Mindshare,Istanbul,Media Agency,Turkey,,"Automotive, Business & Industrial, Financial Services, Food, Household & Domestic, Leisure & Entertainment, Retail, Soft Drinks, Technology & Electronics, Telecoms & Utilities, Toiletries & Cosmetics",62.3
18,Marcel,Paris,Creative Agency,France,,"Media & Publishing, Retail",60.0
19,BBDO,Lahore,Creative Agency,Pakistan,,"Household & Domestic, Non-profit, public sector & education, Soft Drinks",59.3
20,MKTG,New York,Digital/Specialist Agency,USA,,Household & Domestic,57.8
21,Grey,Kuala Lumpur,Creative Agency,Malaysia,,Retail,55.2
22,McCann,Shanghai,Creative Agency,China (Mainland),,"Retail, Soft Drinks",55.0
23,FP7 McCann,Cairo,Creative Agency,Egypt,,"Business & Industrial, Food, Soft Drinks, Telecoms & Utilities, Toiletries & Cosmetics",53.5
24,DDB Mudra Group,Mumbai,Creative Agency,India,,"Automotive, Clothing & Accessories, Media & Publishing, Retail, Toiletries & Cosmetics",52.3
25,J. Walter Thompson,Riyadh,Creative Agency,Saudi Arabia,,"Financial Services, Retail, Telecoms & Utilities",51.3
26,Ogilvy,Singapore,Creative Agency,Singapore,,"Non-profit, public sector & education, Retail, Technology & Electronics, Toiletries & Cosmetics",50.5
27,Grey,London,Creative Agency,UK,,"Financial Services, Media & Publishing, Non-profit, public sector & education, Toiletries & Cosmetics",50.2
28,OMD,New York,Media Agency,USA,,"Food, Non-profit, public sector & education, Retail, Soft Drinks, Technology & Electronics",47.7
29,DAVID,Buenos Aires,Creative Agency,Argentina,,"Financial Services, Retail, Technology & Electronics",46.9
30,McCann,London,Creative Agency,UK,,"Retail, Technology & Electronics",46.4
31,Starcom,Chicago,Media Agency,USA,,"Clothing & Accessories, Financial Services, Food, Technology & Electronics",44.7
31,VMLY&R,Warsaw,Creative Agency,Poland,,"Alcoholic Drinks, Financial Services, Media & Publishing, Retail, Toiletries & Cosmetics",44.7
33,Grey,Buenos Aires,Creative Agency,Argentina,,"Alcoholic Drinks, Automotive, Financial Services, Soft Drinks, Transport & Tourism",44.6
33,McCann,Lima,Creative Agency,Peru,,"Alcoholic Drinks, Non-profit, public sector & education, Retail, Soft Drinks, Telecoms & Utilities, Toiletries & Cosmetics",44.6
35,Sancho BBDO,Bogotá,Creative Agency,Colombia,,"Business & Industrial, Financial Services, Food, Household & Domestic, Retail, Soft Drinks, Telecoms & Utilities, Toiletries & Cosmetics",43.2
36,FP7 McCann,Beirut,Creative Agency,Lebanon,,"Financial Services, Retail, Transport & Tourism",42.9
37,Serviceplan,Munich,Creative Agency,Germany,X,"Automotive, Leisure & Entertainment, Media & Publishing, Non-profit, public sector & education, Retail, Soft Drinks, Technology & Electronics",42.8
38,MullenLowe,Boston,Creative Agency,USA,,"Financial Services, Retail, Technology & Electronics, Transport & Tourism",42.0
39,Ogilvy,Chicago,Creative Agency,USA,,"Alcoholic Drinks, Media & Publishing, Non-profit, public sector & education",41.7
40,BBDO,Buenos Aires,Creative Agency,Argentina,,"Business & Industrial, Food, Household & Domestic, Non-profit, public sector & education, Pharma & Healthcare",41.2
41,MRM//McCann,Shanghai,Digital/Specialist Agency,China (Mainland),,Retail,41.1
42,The Monkeys,Sydney,Creative Agency,Australia,,"Alcoholic Drinks, Financial Services, Food, Pharma & Healthcare, Telecoms & Utilities",41.0
43,BC&F Dentsu,Auckland,Creative Agency,New Zealand,,"Financial Services, Non-profit, public sector & education, Telecoms & Utilities",40.8
44,Starcom,Warsaw,Media Agency,Poland,,"Alcoholic Drinks, Media & Publishing, Pharma & Healthcare, Soft Drinks",40.0
44,Ayzenberg,Los Angeles,Digital/Specialist Agency,USA,X,Technology & Electronics,40.0
46,UM,Toronto,Media Agency,Canada,,"Alcoholic Drinks, Food, Non-profit, public sector & education, Retail",39.7
47,Reprise,Petaling Jaya,Media Agency,Malaysia,,"Retail, Telecoms & Utilities, Toiletries & Cosmetics",39.0
