Rank,Brand,Product Category,Points,,
1,Coca-Cola,Soft Drinks,310.2,,
2,McDonald’s,Retail,207.7,,
3,OPSM,Retail,138.6,,
4,IKEA,Retail,138.0,,
5,Always,Toiletries & Cosmetics,133.6,,
6,Heineken,Alcoholic Drinks,131.9,,
7,Vodafone,Telecoms & Utilities,120.1,,
8,Volvo,Automotive,103.9,,
9,Volkswagen,Automotive,100.0,,
10,Pantene,Toiletries & Cosmetics,87.3,,
11,America's Navy,"Non-profit, public sector & education",81.2,,
12,Samsung Galaxy,Telecoms & Utilities,80.6,,
13,Google,Technology & Electronics,80.2,,
14,Audi,Automotive,79.1,,
15,IBM,Technology & Electronics,77.8,,
16,Hindustan Unilever,Household & Domestic,72.3,,
17,Ford,Automotive,71.8,,
18,British Airways,Transport & Tourism,71.6,,
19,Toyota,Automotive,71.0,,
20,Intermarché,Retail,69.9,,
21,adidas,Clothing & Accessories,68.9,,
22,Visa,Financial Services,68.4,,
23,Deutsche Telekom,Telecoms & Utilities,68.3,,
24,Nissan,Automotive,66.7,,
25,Newcastle Brown Ale,Alcoholic Drinks,66.4,,
26,New Zealand Transport Agency,"Non-profit, public sector & education",65.7,,
27,Nike,Clothing & Accessories,64.9,,
28,Mercedes-Benz,Automotive,63.8,,
29,Philips,Household & Domestic,62.9,,
30,BMW,Automotive,62.5,,
31,Honey Maid,Food,59.9,,
32,Gillette,Toiletries & Cosmetics,57.7,,
33,Tigo,Telecoms & Utilities,57.6,,
34,Samsung,Technology & Electronics,56.5,,
35,Under Armour,Clothing & Accessories,53.5,,
35,SPC,Business & Industrial,53.5,,
37,Idea Cellular,Telecoms & Utilities,52.0,,
38,Movistar,Telecoms & Utilities,51.3,,
39,Huggies,Toiletries & Cosmetics,51.1,,
40,Whisper,Toiletries & Cosmetics,49.5,,
41,Dell,Technology & Electronics,48.9,,
42,Three,Telecoms & Utilities,47.4,,
43,Emirates NBD,Financial Services,47.3,,
44,Ariel,Household & Domestic,46.9,,
45,MasterCard,Financial Services,46.0,,
46,Jaguar,Automotive,45.4,,
47,SmartLife,"Non-profit, public sector & education",44.8,,
48,Guinness,Alcoholic Drinks,43.7,,
49,Pepsi,Soft Drinks,43.6,,
50,United Nations,"Non-profit, public sector & education",43.3,,
51,Akanksha Foundation,"Non-profit, public sector & education",43.1,,
52,Reprieve,"Non-profit, public sector & education",42.7,,
53,"Economist, The",Media & Publishing,42.2,,
54,OMO,Household & Domestic,42.1,,
55,Taco Bell,Retail,41.9,,
56,Opel,Automotive,41.2,,
57,Target,Retail,40.5,,
58,Durex,Pharma & Healthcare,40.3,,
59,Havells Appliances,Household & Domestic,39.4,,
59,DrinkWise,"Non-profit, public sector & education",39.4,,
61,Fanta,Soft Drinks,39.2,,
62,St John Ambulance,"Non-profit, public sector & education",37.9,,
63,Land Rover,Automotive,37.4,,
64,Sport England,"Non-profit, public sector & education",37.2,,
64,John Lewis,Retail,37.2,,
66,Lidl,Retail,36.9,,
66,Mountain Dew,Soft Drinks,36.9,,
68,Domino's Pizza,Retail,36.5,,
69,AXE,Toiletries & Cosmetics,36.4,,
70,Old Spice,Toiletries & Cosmetics,36.3,,
71,SF SPCA,"Non-profit, public sector & education",36.1,,
72,Sony Xperia,Telecoms & Utilities,36.0,,
73,Renault,Automotive,35.6,,
74,Honda,Automotive,35.3,,
75,Canadian Tire,Retail,35.1,,
76,Decathlon,Retail,35.0,,
77,Baidu,Media & Publishing,34.8,,
