,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
The top Brands in 2018,,,,,
,,,,,
Rank,Brand,Product Category,Points,,
125,Chernyi Cooperative,Soft Drinks,70.7,,
125,Newsweek,Media & Publishing,70.7,,
127,Orange,Telecoms & Utilities,70.2,,
128,Castorama,Retail,69.9,,
129,Apple,Technology & Electronics,69.8,,
130,Chevrolet,Automotive,69.5,,
131,US Army,"Non-profit, public sector & education",66.8,,
132,Sberbank Russia,Financial Services,66.7,,
133,La Libanaise des Jeux,Leisure & Entertainment,66.3,,
134,Swedish Tourist Association,Transport & Tourism,64.9,,
135,Camelot: The National Lottery,Leisure & Entertainment,64.2,,
135,ANZ,Financial Services,64.2,,
137,Saltwater Brewery,Alcoholic Drinks,64.0,,
138,Aeromexico,Transport & Tourism,63.7,,
139,Ssex Bbox,"Non-profit, public sector & education",62.7,,
139,New Zealand Transport Agency,"Non-profit, public sector & education",62.7,,
141,ABAAD Resource Centre for Gender equality,"Non-profit, public sector & education",62.6,,
142,Tsuruya Roof Tiles,Business & Industrial,62.3,,
143,The Bank Of Åland,Financial Services,61.9,,
144,National Department of Tourism,Transport & Tourism,61.2,,
145,KPN,Telecoms & Utilities,59.9,,
146,KAFA Violence & Exploitation,"Non-profit, public sector & education",59.8,,
147,Diesel,Clothing & Accessories,59.7,,
148,Xiaomi,Technology & Electronics,59.1,,
149,Johnsonville Sausage,Food,58.8,,
150,Google Arts & Culture Natural History,Technology & Electronics,58.7,,
151,Pril,Household & Domestic,58.3,,
152,Allegro,Retail,57.9,,
153,Norwegian,Transport & Tourism,57.5,,
154,Smartpolis Insurance,Financial Services,56.6,,
155,GE,Business & Industrial,56.4,,
156,Yahoo!,Telecoms & Utilities,55.6,,
157,Forbes Magazine,Media & Publishing,55.1,,
158,US Air Force,"Non-profit, public sector & education",55.0,,
158,YouTube,Media & Publishing,55.0,,
160,Cancer Research UK,"Non-profit, public sector & education",54.7,,
161,China Association Of The Deaf,"Non-profit, public sector & education",54.5,,
162,Visit Faroe Islands & Atlantic Airways,Transport & Tourism,54.4,,
162,Gillette Treo,Toiletries & Cosmetics,54.4,,
164,Singtel,Telecoms & Utilities,54.1,,
165,Ubisoft,Technology & Electronics,52.0,,
166,Tesco,Retail,51.9,,
167,Baidu,Media & Publishing,51.8,,
168,Museu Nacional De Arte Antiga,Leisure & Entertainment,51.5,,
169,HP Lubricants,Automotive,51.0,,
169,Inter-Religious Council in Bosnia & Herzegovena,"Non-profit, public sector & education",51.0,,
171,Public Eye,"Non-profit, public sector & education",50.9,,
172,Elevit,Pharma & Healthcare,50.4,,
173,Lacoste,Clothing & Accessories,50.3,,
174,Morton Salt OK GO,Leisure & Entertainment,50.1,,
175,YMCA,"Non-profit, public sector & education",49.6,,
176,Ad Council,"Non-profit, public sector & education",49.5,,
177,Squarespace,Media & Publishing,49.4,,
178,New York Society For Ethical Culture,"Non-profit, public sector & education",49.0,,
179,Medcare Women & Children Hospital,Pharma & Healthcare,48.9,,
180,O2,Telecoms & Utilities,48.3,,
180,Ammada Trust,"Non-profit, public sector & education",48.3,,
182,Maltesers,Food,47.8,,
182,World For All (Animal Care & Pet Adoption Centre),"Non-profit, public sector & education",47.8,,
184,European Anti-Bullying Network,"Non-profit, public sector & education",47.6,,
185,LEGOLAND Florida Resort,Leisure & Entertainment,47.4,,
186,Sony Pictures,Media & Publishing,47.0,,
187,Connect,Telecoms & Utilities,46.7,,
188,Bacardi,Alcoholic Drinks,45.9,,
189,Huggies,Toiletries & Cosmetics,45.7,,
189,Lidl,Retail,45.7,,
191,Polaris,Pharma & Healthcare,45.6,,
192,Procter & Gamble,Household & Domestic,45.2,,
193,Bayer Aspirin,Pharma & Healthcare,45.1,,
194,IBM,Business & Industrial,44.4,,
195,Movistar,Telecoms & Utilities,44.3,,
196,Atados,"Non-profit, public sector & education",43.4,,
197,Lyrical School,Leisure & Entertainment,43.2,,
197,Pepsi / Burger King,Soft Drinks,43.2,,
199,Film Suez,Media & Publishing,43.1,,
200,Avocados From Mexico,Food,42.4,,
201,QQ Alert,Technology & Electronics,42.3,,
202,Softbank Corp,Financial Services,42.0,,
203,Sodimac Homecenter,Retail,41.3,,
204,PETA,"Non-profit, public sector & education",40.7,,
205,Protect and Save The Children,"Non-profit, public sector & education",40.4,,
206,Farnham Ale & Lager,Alcoholic Drinks,39.8,,
207,Wacoal Sports,Clothing & Accessories,39.6,,
208,Visit Sweden,Transport & Tourism,39.3,,
209,Persil,Household & Domestic,39.2,,
210,3M,Retail,39.1,,
210,Tecate,Alcoholic Drinks,39.1,,
212,Hyundai Motors,Automotive,38.9,,
213,Goulburn Valley,Food,38.8,,
