Rank,Brand,Product Category,Points,,
1,Burger King,Retail,153.3,,
2,Ariel,Household & Domestic,127.1,,
3,Mastercard,Financial Services,120.8,,
4,IBM,Business & Industrial,103.6,,
5,Vodafone,Telecoms & Utilities,101.1,,
6,Snickers,Food,100.2,,
7,Swedish Tourist Association,Transport & Tourism,95.4,,
8,Audi,Automotive,89.7,,
9,Whirlpool,Technology & Electronics,89.3,,
10,McDonald's,Retail,88.8,,
11,Transport Accident Commission,"Non-profit, public sector & education",82.5,,
12,Pepsi,Soft Drinks,81.8,,
13,Art Institute of Chicago,Leisure & Entertainment,80.7,,
14,John Lewis,Retail,80.5,,
15,Dove,Toiletries & Cosmetics,79.3,,
16,DB Export,Alcoholic Drinks,78.2,,
17,Reword,"Non-profit, public sector & education",72.2,,
18,Huggies,Toiletries & Cosmetics,70.6,,
19,Barbie,Leisure & Entertainment,70.0,,
20,Airbnb,Transport & Tourism,68.2,,
21,Samsung,Technology & Electronics,67.7,,
22,Aldi,Retail,62.5,,
23,Chevrolet,Automotive,62.3,,
24,M&M's,Food,62.2,,
25,Under Armour,Clothing & Accessories,60.7,,
26,Pedigree,Household & Domestic,58.1,,
27,Hornbach,Retail,57.9,,
28,Knorr,Food,56.6,,
29,Always,Toiletries & Cosmetics,55.3,,
30,Bajaj Auto,Automotive,54.8,,
31,Jolly Rancher,Food,54.6,,
32,Contours,Household & Domestic,54.4,,
33,Amnesty International,"Non-profit, public sector & education",53.8,,
34,Doritos,Food,53.4,,
35,Mercedes-Benz,Automotive,50.2,,
36,Intel,Technology & Electronics,49.7,,
37,Lifebuoy,Toiletries & Cosmetics,49.5,,
38,Maybelline,Toiletries & Cosmetics,49.2,,
38,JetBlue Airways,Transport & Tourism,49.2,,
38,Wrigleys Extra Gum,Food,49.2,,
41,IKEA,Retail,46.8,,
42,Nike,Clothing & Accessories,45.7,,
43,KFC,Retail,45.6,,
44,Nissan,Automotive,45.5,,
45,Shell,Business & Industrial,45.2,,
46,Quilted Northern,Household & Domestic,44.9,,
47,MACMA,"Non-profit, public sector & education",44.5,,
48,Volkswagen,Automotive,43.6,,
49,Comcast XFINITY,Telecoms & Utilities,42.2,,
50,Bonds,Clothing & Accessories,41.7,,
51,Johnson & Johnson,Toiletries & Cosmetics,41.2,,
52,Movistar,Telecoms & Utilities,40.9,,
52,T-Mobile,Telecoms & Utilities,40.9,,
54,L'Oreal,Toiletries & Cosmetics,40.4,,
55,Huawei,Telecoms & Utilities,40.2,,
