Rank,Brand,Product Category,Points,,
137,belairdirect,Financial Services,17.1,,
137,Virgin Atlantic,Transport & Tourism,17.1,,
137,Behr,Household & Domestic,17.1,,
137,Toyota,Automotive,17.1,,
146,Aukin,Media & Publishing,17.0,,
147,Closeup,Toiletries & Cosmetics,16.9,,
148,TUMS,Pharma & Healthcare,16.7,,
148,The Handmaid's Tale,Media & Publishing,16.7,,
150,HP,Technology & Electronics,16.5,,
151,Roto-Rooter,Business & Industrial,16.4,,
152,LG,Technology & Electronics,16.2,,
153,Air New Zealand,Transport & Tourism,15.4,,
153,Uri: The Surgical Strike,Media & Publishing,15.4,,
153,Samsung,Technology & Electronics,15.4,,
156,Bank of the West,Financial Services,15.3,,
156,Akbank,Financial Services,15.3,,
158,Audi,Automotive,15.0,,
159,Google Search,Technology & Electronics,14.7,,
160,Akbank Sanat,Leisure & Entertainment,14.6,,
161,Kia,Automotive,14.4,,
162,Ally,Financial Services,14.0,,
162,Scotiabank Arena,Leisure & Entertainment,14.0,,
164,Acura,Automotive,13.9,,
164,Formula 1,Leisure & Entertainment,13.9,,
164,Space,Media & Publishing,13.9,,
167,Mastercard,Financial Services,13.7,,
167,Movistar,Telecoms & Utilities,13.7,,
167,Tuenti,Telecoms & Utilities,13.7,,
167,Puerto Rico Tourism Company,Transport & Tourism,13.7,,
171,Museo de Arte Moderno de Bogotá (MAMBO),Leisure & Entertainment,13.4,,
171,Castorama,Retail,13.4,,
173,Be CyberSafe,"Non-profit, public sector & education",13.3,,
173,Tesco,Retail,13.3,,
175,Louvre Abu Dhabi,Transport & Tourism,12.9,,
175,Pizza Hut,Retail,12.9,,
175,Chupa Chups,Food,12.9,,
175,Almari,Food,12.9,,
179,Unilever,Toiletries & Cosmetics,12.6,,
180,SONIC,Retail,12.5,,
180,Kraft,Food,12.5,,
180,W Hotels,Transport & Tourism,12.5,,
180,Sensodyne,Toiletries & Cosmetics,12.5,,
180,Samaritan,"Non-profit, public sector & education",12.5,,
180,The Shelter Pet Project,"Non-profit, public sector & education",12.5,,
180,Lala,Food,12.5,,
187,Cerveza Pacífico,Alcoholic Drinks,12.3,,
187,GOL Airlines,Transport & Tourism,12.3,,
189,GB Glace,Food,12.2,,
190,World Vision Australia,"Non-profit, public sector & education",12.1,,
190,Tip Top,Food,12.1,,
190,Amazon Echo,Technology & Electronics,12.1,,
190,Nicotex,Pharma & Healthcare,12.1,,
194,Cornetto,Food,11.9,,
195,Corona,Alcoholic Drinks,11.8,,
196,Deep State,Media & Publishing,11.6,,
196,Hiscox,Financial Services,11.6,,
196,Google,Technology & Electronics,11.6,,
196,Carlsberg,Alcoholic Drinks,11.6,,
200,The LEGO Movie 2,Media & Publishing,11.5,,
200,Finish,Household & Domestic,11.5,,
202,Emirates NBD,Financial Services,11.4,,
202,Avon,Toiletries & Cosmetics,11.4,,
202,Government of Buenos Aires,"Non-profit, public sector & education",11.4,,
202,English Live,"Non-profit, public sector & education",11.4,,
206,TalkTalk,Telecoms & Utilities,11.3,,
206,Tim Hortons,Retail,11.3,,
206,Google Shopping,Technology & Electronics,11.3,,
209,Heineken,Alcoholic Drinks,11.2,,
209,YOTA,Telecoms & Utilities,11.2,,
211,INFINITI,Automotive,11.0,,
212,Google Cloud,Technology & Electronics,10.9,,
213,Signal,Toiletries & Cosmetics,10.8,,
214,MediaMarkt,Retail,10.7,,
214,Deka Bank,Financial Services,10.7,,
216,Plaza Vea,Retail,10.6,,
216,Donate Life California,"Non-profit, public sector & education",10.6,,
218,Netsafe,"Non-profit, public sector & education",10.5,,
219,Ant-Man and the Wasp,Media & Publishing,10.3,,
220,Chakra Tea,Soft Drinks,10.2,,
221,Amnesty International,"Non-profit, public sector & education",10.0,,
221,Reclame Aquí,Media & Publishing,10.0,,
221,Massira,Technology & Electronics,10.0,,
221,The Writers' Shop,Retail,10.0,,
221,House of Cards,Media & Publishing,10.0,,
221,Tagasaki City,Transport & Tourism,10.0,,
221,Purina,Household & Domestic,10.0,,
221,le drugstore parisien,Retail,10.0,,
221,The Female Company,Toiletries & Cosmetics,10.0,,
221,Theraflu,Pharma & Healthcare,10.0,,
221,AAMI,Financial Services,10.0,,
232,Game of Thrones,Media & Publishing,9.8,,
232,New Balance,Clothing & Accessories,9.8,,
232,Deadpool 2,Media & Publishing,9.8,,
232,GE,Business & Industrial,9.8,,
232,U.S. Air Force,"Non-profit, public sector & education",9.8,,
232,Delta Air Lines,Transport & Tourism,9.8,,
232,John F. Kennedy Presidential Library and Museum,Leisure & Entertainment,9.8,,
232,5 Gum,Food,9.8,,
232,Itaú,Financial Services,9.8,,
232,Color Visión,Media & Publishing,9.8,,
232,Ford,Automotive,9.8,,
232,Stayfree,Toiletries & Cosmetics,9.8,,
244,Telekom,Telecoms & Utilities,9.7,,
245,La Caja de Ahorro y Seguro,Financial Services,9.5,,
246,Nespresso,Soft Drinks,9.4,,
246,La Sirena,Retail,9.4,,
248,Telekom Deutschland,Telecoms & Utilities,9.2,,
248,Giving Tuesday,"Non-profit, public sector & education",9.2,,
250,Mountain Dew / Game of Thrones,Soft Drinks,9.1,,
250,Stiftung Über Leben,"Non-profit, public sector & education",9.1,,
250,Opel,Automotive,9.1,,
250,Abreva,Pharma & Healthcare,9.1,,
250,Excedrin,Pharma & Healthcare,9.1,,
250,This Life Cambodia,"Non-profit, public sector & education",9.1,,
250,SBT,Media & Publishing,9.1,,
250,Tulipán,Pharma & Healthcare,9.1,,
258,Domex,Household & Domestic,8.9,,
259,Pharmaton,Pharma & Healthcare,8.8,,
260,Stage Stores,Retail,8.7,,
261,Beau Monde,Media & Publishing,8.6,,
261,Google Pixel,Technology & Electronics,8.6,,
261,Planters Cheez Balls,Food,8.6,,
264,Aditya Birla Capital Health Insurance,Financial Services,8.4,,
264,Durex,Pharma & Healthcare,8.4,,
264,Racold,Household & Domestic,8.4,,
264,FuzeTea,Soft Drinks,8.4,,
264,Can-Am,Automotive,8.4,,
264,Beats,Technology & Electronics,8.4,,
264,Johnnie Walker,Alcoholic Drinks,8.4,,
264,Cerveza Corona,Alcoholic Drinks,8.4,,
264,PlayStation,Technology & Electronics,8.4,,
