Rank,Agency Name,City,Agency Type,Agency Location,Independent?,Product Category,Points
1,Starcom Mediavest Group Chicago,,Media Agency,USA,,"Alcoholic Drinks, Automotive, Financial Services, Food, Leisure & Entertainment, Pharma & Healthcare, Retail, Toiletries & Cosmetics",200.8
2,MullenLowe Lintas Group,,Creative Agency,India,,"Food, Household & Domestic, Media & Publishing, Pharma & Healthcare, Retail, Soft Drinks, Telecoms & Utilities, Toiletries & Cosmetics",194.5
3,Droga5 New York,,Creative Agency,USA,X,"Alcoholic Drinks, Clothing & Accessories, Food, Soft Drinks",178.8
4,Ogilvy & Mather New York,,Creative Agency,USA,,"Automotive, Business & Industrial, Household & Domestic, Media & Publishing, Pharma & Healthcare, Soft Drinks, Technology & Electronics, Transport & Tourism",131.0
5,Starcom Mediavest Group New York,,Media Agency,USA,,"Food, Household & Domestic, Retail, Soft Drinks, Technology & Electronics, Telecoms & Utilities",128.1
6,Leo Burnett Chicago,,Creative Agency,USA,,"Retail, Technology & Electronics, Toiletries & Cosmetics",116.0
7,AMV BBDO,,Creative Agency,UK,,"Alcoholic Drinks, Food, Non-profit, public sector & education, Pharma & Healthcare, Retail, Soft Drinks",114.8
8,Leo Burnett Toronto,,Creative Agency,Canada,,"Financial Services, Household & Domestic, Retail, Toiletries & Cosmetics",103.1
9,Saatchi & Saatchi Sydney,,Creative Agency,Australia,,Retail,101.7
10,Leo Burnett Melbourne,,Creative Agency,Australia,,"Automotive, Business & Industrial, Soft Drinks",99.2
11,Clemenger BBDO Melbourne,,Creative Agency,Australia,,"Alcoholic Drinks, Financial Services, Food, Non-profit, public sector & education",97.1
12,Wieden + Kennedy Portland,,Creative Agency,USA,X,"Clothing & Accessories, Financial Services, Soft Drinks, Toiletries & Cosmetics",93.4
13,FCB Chicago,,Creative Agency,USA,,"Business & Industrial, Food, Non-profit, public sector & education, Retail",90.3
14,DDB Auckland,,Creative Agency,New Zealand,,"Alcoholic Drinks, Automotive, Business & Industrial, Media & Publishing, Non-profit, public sector & education",89.9
15,FP7/DXB,,Creative Agency,United Arab Emirates,,"Financial Services, Food, Non-profit, public sector & education, Soft Drinks, Telecoms & Utilities",86.4
16,Campbell Ewald,,Creative Agency,USA,,"Non-profit, public sector & education",81.2
17,Grey New York,,Creative Agency,USA,,"Media & Publishing, Pharma & Healthcare, Telecoms & Utilities, Toiletries & Cosmetics",79.8
17,Ogilvy & Mather Mumbai,,Creative Agency,India,,"Automotive, Business & Industrial, Clothing & Accessories, Financial Services, Food, Household & Domestic, Leisure & Entertainment, Media & Publishing, Non-profit, public sector & education, Soft Drinks, Technology & Electronics, Telecoms & Utilities, Toi",79.8
19,Forsman & Bodenfors Gothenburg,,Creative Agency,Sweden,X,"Automotive, Financial Services, Food, Retail",78.7
20,Arc Chicago,,Digital/Specialist Agency,USA,,"Household & Domestic, Retail, Toiletries & Cosmetics",74.5
21,Leo Burnett London,,Creative Agency,UK,,"Non-profit, public sector & education, Retail, Toiletries & Cosmetics",73.8
22,Colenso BBDO,,Creative Agency,New Zealand,,"Financial Services, Food, Household & Domestic, Non-profit, public sector & education, Retail, Soft Drinks, Technology & Electronics",73.4
23,Sancho BBDO,,Creative Agency,Colombia,,"Alcoholic Drinks, Automotive, Business & Industrial, Financial Services, Food, Household & Domestic, Non-profit, public sector & education, Retail, Soft Drinks, Telecoms & Utilities, Transport & Tourism",72.7
24,Marcel Paris,,Creative Agency,France,,"Retail, Telecoms & Utilities",72.0
25,Clemenger BBDO Wellington,,Creative Agency,New Zealand,,"Non-profit, public sector & education",65.7
26,OMD Sydney,,Media Agency,Australia,,"Leisure & Entertainment, Retail, Telecoms & Utilities",64.3
27,DDB Mudra,,Creative Agency,India,,"Food, Media & Publishing, Non-profit, public sector & education, Retail, Toiletries & Cosmetics",58.4
28,AlmapBBDO,,Creative Agency,Brazil,,"Alcoholic Drinks, Automotive, Financial Services, Toiletries & Cosmetics",58.1
29,BBDO Shanghai,,Creative Agency,China (Mainland),,"Financial Services, Pharma & Healthcare, Toiletries & Cosmetics",57.2
30,Jung von Matt Hamburg,,Creative Agency,Germany,X,"Alcoholic Drinks, Leisure & Entertainment, Non-profit, public sector & education, Retail",57.1
31,McCann Mumbai,,Creative Agency,India,,"Food, Media & Publishing, Non-profit, public sector & education, Pharma & Healthcare, Retail, Soft Drinks, Toiletries & Cosmetics",57.0
32,PHD London,,Media Agency,UK,,"Food, Leisure & Entertainment",56.3
33,OMD New York,,Media Agency,USA,,"Food, Retail, Soft Drinks, Technology & Electronics, Transport & Tourism",55.1
34,TRISECT,,Creative Agency,USA,X,"Alcoholic Drinks, Food, Toiletries & Cosmetics",53.6
35,Starcom Mediavest Group Warsaw,,Media Agency,Poland,,"Alcoholic Drinks, Business & Industrial, Financial Services, Food, Pharma & Healthcare, Retail, Telecoms & Utilities",53.5
36,OMD UK,,Media Agency,UK,,"Automotive, Food, Non-profit, public sector & education, Soft Drinks, Technology & Electronics, Transport & Tourism",53.1
37,Serviceplan Munich,,Creative Agency,Germany,X,"Automotive, Leisure & Entertainment, Non-profit, public sector & education",50.6
38,BBDO New York,,Creative Agency,USA,,"Alcoholic Drinks, Food, Pharma & Healthcare, Retail, Technology & Electronics",50.5
39,Marketing Store,,Digital/Specialist Agency,USA,X,Retail,49.7
40,Grey London,,Creative Agency,UK,,"Food, Household & Domestic, Toiletries & Cosmetics",49.6
41,DDB Singapore,,Creative Agency,Singapore,,"Non-profit, public sector & education, Retail",49.0
42,MediaCom Mumbai,,Media Agency,India,,"Automotive, Household & Domestic, Toiletries & Cosmetics",48.1
43,MediaCom Düsseldorf,,Media Agency,Germany,,"Soft Drinks, Technology & Electronics, Telecoms & Utilities",47.8
44,Critical Mass Calgary,,Digital/Specialist Agency,Canada,,"Automotive, Non-profit, public sector & education",47.5
45,Wieden + Kennedy London,,Creative Agency,UK,X,Telecoms & Utilities,47.4
46,UM London,,Media Agency,UK,,"Media & Publishing, Retail",47.1
47,DDB Berlin,,Creative Agency,Germany,,"Automotive, Telecoms & Utilities",47.0
48,Manajans JWT,,Creative Agency,Turkey,,"Soft Drinks, Telecoms & Utilities, Toiletries & Cosmetics",46.5
48,Wieden + Kennedy New York,,Creative Agency,USA,X,"Leisure & Entertainment, Transport & Tourism",46.5
50,Marketing Arm,,Digital/Specialist Agency,USA,,"Food, Retail, Toiletries & Cosmetics",46.4
51,BBH London,,Creative Agency,UK,,"Non-profit, public sector & education, Soft Drinks, Toiletries & Cosmetics",46.2
52,Hakuhodo Tokyo,,Creative Agency,Japan,,"Alcoholic Drinks, Automotive, Food, Leisure & Entertainment, Retail, Transport & Tourism",45.6
53,Spark44 Los Angeles,,Creative Agency,USA,X,Automotive,45.4
53,McCann Bucharest,,Creative Agency,Romania,,"Alcoholic Drinks, Financial Services, Food, Household & Domestic, Telecoms & Utilities",45.4
55,ZenithOptimedia London,,Media Agency,UK,,"Automotive, Telecoms & Utilities",44.9
56,adam&eveDDB,,Creative Agency,UK,,"Food, Retail",44.6
57,Energy BBDO,,Creative Agency,USA,,"Food, Household & Domestic, Retail",44.2
58,MediaCom London,,Media Agency,UK,,"Business & Industrial, Technology & Electronics, Telecoms & Utilities",44.1
59,MullenLowe Boston,,Creative Agency,USA,,Media & Publishing,43.5
60,TMW Unlimited,,Creative Agency,UK,X,"Financial Services, Pharma & Healthcare, Toiletries & Cosmetics, Transport & Tourism",43.2
61,Impact BBDO Lahore,,Creative Agency,Pakistan,,"Non-profit, public sector & education",42.7
62,TBWA\Media Arts Lab Los Angeles,,Creative Agency,USA,,"Technology & Electronics, Telecoms & Utilities",41.8
63,BBDO Mumbai,,Creative Agency,India,,"Household & Domestic, Toiletries & Cosmetics",41.1
64,Jung von Matt Stuttgart,,Creative Agency,Germany,X,"Automotive, Telecoms & Utilities",40.5
65,BBDO Brussels,,Creative Agency,Belgium,,"Financial Services, Media & Publishing",40.3
66,Geometry Global Bogotá,,Digital/Specialist Agency,Colombia,,"Food, Non-profit, public sector & education, Soft Drinks, Toiletries & Cosmetics",40.1
66,REP/GREY,,Creative Agency,Colombia,,"Food, Telecoms & Utilities",40.1
66,HEIMAT Berlin,,Creative Agency,Germany,X,"Non-profit, public sector & education, Retail, Soft Drinks, Technology & Electronics",40.1
69,Ogilvy & Mather São Paulo,,Creative Agency,Brazil,,"Leisure & Entertainment, Pharma & Healthcare",40.0
70,OgilvyOne London,,Digital/Specialist Agency,UK,,"Media & Publishing, Non-profit, public sector & education, Technology & Electronics, Telecoms & Utilities, Transport & Tourism",39.7
71,Ogilvy & Mather Bogotá,,Creative Agency,Colombia,,"Non-profit, public sector & education, Soft Drinks, Toiletries & Cosmetics",39.6
72,Ogilvy & Mather Beijing,,Creative Agency,China (Mainland),,"Automotive, Business & Industrial, Clothing & Accessories, Media & Publishing, Telecoms & Utilities, Transport & Tourism",39.5
73,FCB Inferno,,Creative Agency,UK,,"Non-profit, public sector & education, Pharma & Healthcare",39.3
73,OMD Hong Kong,,Media Agency,Hong Kong,,"Pharma & Healthcare, Retail",39.3
75,DDB Hong Kong,,Creative Agency,Hong Kong,,"Automotive, Retail, Soft Drinks",39.2
76,Mindshare Istanbul,,Media Agency,Turkey,,"Food, Household & Domestic, Retail, Soft Drinks, Telecoms & Utilities, Toiletries & Cosmetics",38.7
77,FCB/RED Chicago,,Digital/Specialist Agency,USA,,"Business & Industrial, Food, Retail",37.9
78,OgilvyOne Mumbai,,Digital/Specialist Agency,India,,"Household & Domestic, Non-profit, public sector & education, Telecoms & Utilities",37.3
78,72andSunny Los Angeles,,Creative Agency,USA,,"Technology & Electronics, Telecoms & Utilities",37.3
80,"Barnes, Catmur & Friends",,Creative Agency,New Zealand,X,"Alcoholic Drinks, Retail",36.7
81,Starcom Mediavest Group London,,Media Agency,UK,,"Alcoholic Drinks, Financial Services, Telecoms & Utilities",36.6
82,Publicis Dubai,,Creative Agency,United Arab Emirates,,"Automotive, Food, Soft Drinks",36.5
83,Geometry Global San Francisco,,Digital/Specialist Agency,USA,,"Non-profit, public sector & education",36.1
