Rank,Brand,Product Category,Points,,
138,Greenpeace,"Non-profit, public sector & education",16.4,,
139,Nike,Clothing & Accessories,16.1,,
140,Apple,Technology & Electronics,16.0,,
140,Huawei,Technology & Electronics,16.0,,
140,Bouygues Telecom,Telecoms & Utilities,16.0,,
140,Millie's Library,Media & Publishing,16.0,,
140,Lotto 6/49,Leisure & Entertainment,16.0,,
140,Buondì Motta,Food,16.0,,
140,letgo,Retail,16.0,,
140,ING Bank,Financial Services,16.0,,
140,Česká asociace pojišťoven,Financial Services,16.0,,
140,Easy,Retail,16.0,,
140,Pak'nSave,Retail,16.0,,
140,Suzuki,Automotive,16.0,,
140,SOLCA,"Non-profit, public sector & education",16.0,,
140,Supermatch,Leisure & Entertainment,16.0,,
154,Philips,Technology & Electronics,15.8,,
154,Apple iPad,Technology & Electronics,15.8,,
156,Bill & Melinda Gates Foundation,"Non-profit, public sector & education",15.7,,
156,VIP Mobile,Telecoms & Utilities,15.7,,
158,Fran,Alcoholic Drinks,15.4,,
158,Twitter,Media & Publishing,15.4,,
160,SAS,Transport & Tourism,15.3,,
161,Knorr,Food,15.0,,
162,Tulipán,Pharma & Healthcare,14.9,,
163,Singapore Tourism Board,Transport & Tourism,14.8,,
163,Triple-S Advantage,Financial Services,14.8,,
165,JennAir,Technology & Electronics,14.7,,
166,7 Up,Soft Drinks,14.5,,
166,Spark,Telecoms & Utilities,14.5,,
168,Consonant Skincare,Toiletries & Cosmetics,14.4,,
168,Save Soap Project,Toiletries & Cosmetics,14.4,,
168,Share,"Non-profit, public sector & education",14.4,,
168,Discover Puerto Rico,Transport & Tourism,14.4,,
172,National Geographic,Media & Publishing,14.3,,
173,Procter & Gamble,Toiletries & Cosmetics,14.2,,
173,Doritos,Food,14.2,,
175,YouTube Go,Media & Publishing,14.1,,
175,Tunisie Telecom,Telecoms & Utilities,14.1,,
175,Almosafer,Transport & Tourism,14.1,,
175,Dubai Media City,Business & Industrial,14.1,,
175,An-Nahar,Media & Publishing,14.1,,
180,MTS,Telecoms & Utilities,14.0,,
180,SickKids Foundation,"Non-profit, public sector & education",14.0,,
180,Cerveza Corona,Alcoholic Drinks,14.0,,
180,TAP Air Portugal,Transport & Tourism,14.0,,
180,Żywiec,Alcoholic Drinks,14.0,,
180,Shell,Automotive,14.0,,
180,Scotiabank,Financial Services,14.0,,
180,Cerveza Cristal,Alcoholic Drinks,14.0,,
180,Nissan,Automotive,14.0,,
189,Asha Ek Hope Foundation,"Non-profit, public sector & education",13.7,,
189,NHS England,"Non-profit, public sector & education",13.7,,
191,MINI,Automotive,13.5,,
191,Beko,Technology & Electronics,13.5,,
193,Fundación Las Rosas,"Non-profit, public sector & education",13.4,,
194,CloseUp,Toiletries & Cosmetics,13.3,,
194,Connect,Telecoms & Utilities,13.3,,
194,MILO,Soft Drinks,13.3,,
197,Missguided,Retail,13.0,,
197,The New York Public Library,"Non-profit, public sector & education",13.0,,
197,Vive Digital Program,Technology & Electronics,13.0,,
197,Monash University,"Non-profit, public sector & education",13.0,,
197,Al Rajhi Bank,Financial Services,13.0,,
197,Canadian Down Syndrome Society,"Non-profit, public sector & education",13.0,,
203,DirecTV,Media & Publishing,12.9,,
204,Pond's Men,Toiletries & Cosmetics,12.7,,
204,Harpic,Household & Domestic,12.7,,
206,Grads of Life,"Non-profit, public sector & education",12.5,,
206,WNBA,Leisure & Entertainment,12.5,,
206,Rice Krispies Treats,Food,12.5,,
206,Gerber,Food,12.5,,
206,Cook County Health Foundation,"Non-profit, public sector & education",12.5,,
206,WeCounterHate,"Non-profit, public sector & education",12.5,,
206,E-Trade,Financial Services,12.5,,
206,Team Gleason,"Non-profit, public sector & education",12.5,,
206,Clash of Clans,Technology & Electronics,12.5,,
206,Bank of the West,Financial Services,12.5,,
206,MiBanco,Financial Services,12.5,,
206,Costeño,Food,12.5,,
218,Intel,Technology & Electronics,12.2,,
219,Bournvita,Soft Drinks,12.0,,
219,Megafon,Telecoms & Utilities,12.0,,
219,Lipton,Soft Drinks,12.0,,
219,mBank,Financial Services,12.0,,
219,LEGO,Leisure & Entertainment,12.0,,
219,Pilsen Callao,Alcoholic Drinks,12.0,,
219,Tuenti,Telecoms & Utilities,12.0,,
219,Bank Hapoalim,Financial Services,12.0,,
227,Boursorama Banque,Financial Services,11.7,,
227,The Crew 2,Technology & Electronics,11.7,,
229,Badya,Business & Industrial,11.6,,
230,Alfa,Alcoholic Drinks,11.5,,
230,Parisian Road Safety Authority,"Non-profit, public sector & education",11.5,,
230,Intermarché,Retail,11.5,,
233,Wong,Retail,11.4,,
234,Head & Shoulders,Toiletries & Cosmetics,11.3,,
235,Berger Paints,Household & Domestic,11.2,,
236,Byblos Bank,Financial Services,11.1,,
237,Ad Council / Susan G. Komen,"Non-profit, public sector & education",11.0,,
237,HP,Technology & Electronics,11.0,,
237,Zillow,Business & Industrial,11.0,,
240,Jotun Paints,Household & Domestic,10.9,,
241,truth,"Non-profit, public sector & education",10.8,,
242,Aeroméxico,Transport & Tourism,10.7,,
242,Dove,Toiletries & Cosmetics,10.7,,
242,Starbucks,Retail,10.7,,
245,American Tourister,Clothing & Accessories,10.5,,
245,Golden,Food,10.5,,
245,Meridian Energy,Telecoms & Utilities,10.5,,
245,Thermos,Retail,10.5,,
245,Meat & Livestock Australia,Food,10.5,,
245,Cadbury Dairy Milk,Food,10.5,,
245,Durex,Pharma & Healthcare,10.5,,
252,Oh Henry!,Food,10.3,,
253,Kraft,Food,10.2,,
254,dosist,Tobacco,10.1,,
254,Mothercare,Retail,10.1,,
254,Marmite,Food,10.1,,
254,Which?,Media & Publishing,10.1,,
254,Change4Life,"Non-profit, public sector & education",10.1,,
254,Tencent Foundation / China Organ Donation,"Non-profit, public sector & education",10.1,,
254,Buick,Automotive,10.1,,
254,Vatti,Technology & Electronics,10.1,,
254,Timberland,Clothing & Accessories,10.1,,
263,Saffola,Food,10.0,,
263,Hotstar,Media & Publishing,10.0,,
263,Hamam,Toiletries & Cosmetics,10.0,,
263,Maharashtra Dyslexia Association,"Non-profit, public sector & education",10.0,,
263,Knochenmarkspenderzentrale Universitätsklinikum,"Non-profit, public sector & education",10.0,,
263,Orbit,Food,10.0,,
263,Hasbro,Leisure & Entertainment,10.0,,
