Rank,Agency Name,City,Agency Type,Agency Location,Independent?,Product Category,Points
1,adam&eveDDB,,Creative Agency,UK,,"Automotive, Financial Services, Food, Non-profit, public sector & education, Retail",219.7
2,AMV BBDO,,Creative Agency,UK,,"Alcoholic Drinks, Financial Services, Food, Household & Domestic, Non-profit, public sector & education, Retail, Soft Drinks",173.7
3,Starcom New York,,Media Agency,USA,,"Alcoholic Drinks, Financial Services, Food, Household & Domestic, Retail, Soft Drinks, Technology & Electronics, Telecoms & Utilities",147.3
4,BBDO Mumbai,,Creative Agency,India,,Household & Domestic,142.2
5,Grey London,,Creative Agency,UK,,"Automotive, Food, Non-profit, public sector & education, Toiletries & Cosmetics, Transport & Tourism",140.1
6,MullenLowe Lintas Group Mumbai,,Creative Agency,India,,"Automotive, Business & Industrial, Financial Services, Household & Domestic, Media & Publishing, Non-profit, public sector & education, Pharma & Healthcare, Retail, Soft Drinks, Telecoms & Utilities, Toiletries & Cosmetics",123.3
7,Ogilvy & Mather New York,,Creative Agency,USA,,"Business & Industrial, Financial Services, Food, Leisure & Entertainment, Non-profit, public sector & education, Pharma & Healthcare, Telecoms & Utilities",115.6
8,BBDO New York,,Creative Agency,USA,,"Food, Household & Domestic, Non-profit, public sector & education, Pharma & Healthcare, Retail, Soft Drinks, Technology & Electronics, Telecoms & Utilities, Toiletries & Cosmetics",115.5
9,72andSunny Los Angeles,,Creative Agency,USA,,"Alcoholic Drinks, Business & Industrial, Food, Non-profit, public sector & education, Technology & Electronics",113.4
10,Ogilvy & Mather Mumbai,,Creative Agency,India,,"Non-profit, public sector & education, Telecoms & Utilities, Transport & Tourism",103.5
11,Clemenger BBDO Melbourne,,Creative Agency,Australia,,"Automotive, Food, Household & Domestic, Retail",100.9
12,Mindshare New York,,Media Agency,USA,,"Automotive, Food, Household & Domestic, Pharma & Healthcare, Toiletries & Cosmetics",100.6
13,Colenso BBDO,,Creative Agency,New Zealand,,"Alcoholic Drinks, Automotive, Financial Services, Household & Domestic, Non-profit, public sector & education, Retail, Soft Drinks",98.9
14,Atomic 212° Group,,Media Agency,Australia,X,Technology & Electronics,95.0
15,McCann New York,,Creative Agency,USA,,"Alcoholic Drinks, Business & Industrial, Leisure & Entertainment, Non-profit, public sector & education, Pharma & Healthcare",88.3
16,Starcom Chicago,,Media Agency,USA,,"Financial Services, Food, Pharma & Healthcare, Toiletries & Cosmetics, Transport & Tourism",85.6
17,Leo Burnett Chicago,,Creative Agency,USA,,"Financial Services, Toiletries & Cosmetics",82.3
18,Proximity London,,Digital/Specialist Agency,UK,,"Financial Services, Media & Publishing, Non-profit, public sector & education",81.0
19,Manning Gottlieb OMD,,Media Agency,UK,,"Non-profit, public sector & education, Retail, Transport & Tourism",80.7
20,FP7/DXB,,Creative Agency,United Arab Emirates,,"Financial Services, Food, Non-profit, public sector & education, Retail, Soft Drinks",79.5
21,McCann Melbourne,,Creative Agency,Australia,,"Financial Services, Leisure & Entertainment, Non-profit, public sector & education, Transport & Tourism",79.0
22,Grey New York,,Creative Agency,USA,,"Automotive, Household & Domestic, Leisure & Entertainment, Media & Publishing, Non-profit, public sector & education, Toiletries & Cosmetics",77.4
23,Ogilvy & Mather Frankfurt,,Creative Agency,Germany,,Retail,76.4
24,Mediavest | Spark Chicago,,Media Agency,USA,,"Household & Domestic, Retail",73.8
25,Sancho BBDO,,Creative Agency,Colombia,,"Alcoholic Drinks, Automotive, Business & Industrial, Financial Services, Food, Leisure & Entertainment, Non-profit, public sector & education, Pharma & Healthcare, Retail, Soft Drinks, Technology & Electronics, Telecoms & Utilities, Transport & Tourism",72.1
26,Mindshare Istanbul,,Media Agency,Turkey,,"Clothing & Accessories, Food, Household & Domestic, Non-profit, public sector & education, Retail, Soft Drinks, Telecoms & Utilities, Toiletries & Cosmetics",71.8
27,Affinity,,Digital/Specialist Agency,Australia,X,Retail,70.9
28,McCann XBC,,Creative Agency,USA,,"Business & Industrial, Financial Services",70.2
29,Leo Burnett Toronto,,Creative Agency,Canada,,"Non-profit, public sector & education, Toiletries & Cosmetics",69.3
30,Leo Burnett Melbourne,,Creative Agency,Australia,,"Business & Industrial, Leisure & Entertainment, Soft Drinks",67.8
31,R/GA New York,,Digital/Specialist Agency,USA,,"Clothing & Accessories, Non-profit, public sector & education, Technology & Electronics",65.7
32,TBWA\Media Arts Lab Los Angeles,,Creative Agency,USA,,Technology & Electronics,64.2
33,Ketchum New York,,Digital/Specialist Agency,USA,,"Food, Household & Domestic, Non-profit, public sector & education, Toiletries & Cosmetics",64.1
34,Deutsch Los Angeles,,Creative Agency,USA,,"Household & Domestic, Retail, Soft Drinks",63.6
35,Ogilvy & Mather London,,Creative Agency,UK,,"Automotive, Non-profit, public sector & education, Telecoms & Utilities, Toiletries & Cosmetics",63.1
36,BBH New York,,Creative Agency,USA,,"Household & Domestic, Media & Publishing, Retail",62.6
36,Edelman New York,,Digital/Specialist Agency,USA,X,"Pharma & Healthcare, Retail, Toiletries & Cosmetics",62.6
38,Clemenger BBDO Wellington,,Creative Agency,New Zealand,,"Non-profit, public sector & education",61.6
39,OMD Los Angeles,,Media Agency,USA,,"Soft Drinks, Technology & Electronics",61.0
40,AlmapBBDO,,Creative Agency,Brazil,,"Alcoholic Drinks, Automotive, Household & Domestic, Toiletries & Cosmetics",60.5
41,MediaCom Mumbai,,Media Agency,India,,Household & Domestic,60.1
42,BMF,,Creative Agency,Australia,,"Food, Non-profit, public sector & education, Retail",58.2
43,UM Bucharest,,Media Agency,Romania,,"Non-profit, public sector & education, Retail, Telecoms & Utilities",58.1
44,TBWA\Chiat\Day Los Angeles,,Creative Agency,USA,,"Leisure & Entertainment, Soft Drinks, Transport & Tourism",57.5
45,Trisect,,Digital/Specialist Agency,USA,,"Alcoholic Drinks, Food, Household & Domestic, Pharma & Healthcare, Soft Drinks",56.7
46,MEC Warsaw,,Media Agency,Poland,,"Alcoholic Drinks, Financial Services, Food, Pharma & Healthcare, Retail, Toiletries & Cosmetics",53.8
47,Y&R İstanbul / Team Red,,Creative Agency,Turkey,,Telecoms & Utilities,53.5
48,Cossette Montreal,,Creative Agency,Canada,,"Food, Media & Publishing, Non-profit, public sector & education",53.0
49,Droga5 New York,,Creative Agency,USA,X,"Clothing & Accessories, Non-profit, public sector & education",52.8
50,OMD UK,,Media Agency,UK,,"Alcoholic Drinks, Business & Industrial, Leisure & Entertainment, Non-profit, public sector & education, Transport & Tourism",50.7
51,PHD London,,Media Agency,UK,,"Food, Non-profit, public sector & education, Retail, Soft Drinks, Toiletries & Cosmetics",49.9
52,Karmarama,,Creative Agency,UK,X,"Retail, Telecoms & Utilities",49.8
53,Team Unilever Shopper,,Digital/Specialist Agency,USA,,"Food, Toiletries & Cosmetics",49.6
54,Impact BBDO Cairo,,Creative Agency,Egypt,,"Food, Soft Drinks, Telecoms & Utilities",49.5
55,OMD Chicago,,Media Agency,USA,,"Retail, Soft Drinks",48.7
56,Wieden + Kennedy Portland,,Creative Agency,USA,X,Toiletries & Cosmetics,48.6
56,E:mg Moscow,,Digital/Specialist Agency,Russia,X,"Food, Non-profit, public sector & education, Retail, Soft Drinks",48.6
58,Crispin Porter & Bogusky Boulder,,Creative Agency,USA,,"Food, Retail",47.8
59,VCCP London,,Creative Agency,UK,,"Non-profit, public sector & education",47.7
60,BBDO Hong Kong,,Creative Agency,Hong Kong,,Food,47.2
61,FCB/RED,,Digital/Specialist Agency,USA,,"Household & Domestic, Soft Drinks",47.0
62,Colenso/Proximity New Zealand,,Digital/Specialist Agency,New Zealand,,"Financial Services, Non-profit, public sector & education, Soft Drinks",46.7
63,UM Dubai,,Media Agency,United Arab Emirates,,"Non-profit, public sector & education, Retail, Soft Drinks",46.6
64,FCB Chicago,,Creative Agency,USA,,"Business & Industrial, Household & Domestic, Retail",45.7
65,Grupo Gallegos,,Creative Agency,USA,X,"Retail, Telecoms & Utilities",45.5
66,360i New York,,Digital/Specialist Agency,USA,,"Alcoholic Drinks, Food, Media & Publishing",45.3
67,OMD New York,,Media Agency,USA,,"Media & Publishing, Soft Drinks, Telecoms & Utilities, Toiletries & Cosmetics",45.2
68,Assembly,,Media Agency,USA,,"Non-profit, public sector & education",44.6
69,W/McCann,,Creative Agency,Brazil,,"Financial Services, Non-profit, public sector & education, Toiletries & Cosmetics, Transport & Tourism",44.2
70,Proximity Madrid,,Digital/Specialist Agency,Spain,,"Leisure & Entertainment, Non-profit, public sector & education",43.7
