Rank,Agency Name,City,Agency Type,Agency Location,Independent?,Product Category,Points
1,Starcom,Chicago,Media Agency,USA,,"Food, Household & Domestic, Leisure & Entertainment, Toiletries & Cosmetics, Transport & Tourism",269.6
2,Clemenger BBDO,Melbourne,Creative Agency,Australia,,"Clothing & Accessories, Financial Services, Food, Household & Domestic, Non-profit, public sector & education, Retail",186.6
3,Colenso BBDO,Auckland,Creative Agency,New Zealand,,"Alcoholic Drinks, Business & Industrial, Financial Services, Household & Domestic, Non-profit, public sector & education, Retail, Soft Drinks",174.2
4,BBDO,New York,Creative Agency,USA,,"Food, Household & Domestic, Leisure & Entertainment, Soft Drinks",139.8
5,BBDO,Mumbai,Creative Agency,India,,Household & Domestic,124.9
6,Droga5,New York,Creative Agency,USA,X,"Clothing & Accessories, Household & Domestic, Leisure & Entertainment, Media & Publishing",114.9
7,FCB,Chicago,Creative Agency,USA,,"Automotive, Household & Domestic, Non-profit, public sector & education, Pharma & Healthcare, Transport & Tourism",114.8
8,McCann,New York,Creative Agency,USA,,"Business & Industrial, Financial Services, Household & Domestic, Non-profit, public sector & education, Pharma & Healthcare, Retail, Technology & Electronics, Telecoms & Utilities",114.2
9,Anomaly,New York,Creative Agency,USA,,"Alcoholic Drinks, Food, Non-profit, public sector & education, Pharma & Healthcare",113.2
10,adam&eveDDB,London,Creative Agency,UK,,"Financial Services, Retail",112.3
11,Grey,New York,Creative Agency,USA,,"Financial Services, Non-profit, public sector & education, Pharma & Healthcare, Toiletries & Cosmetics, Transport & Tourism",98.1
12,Ogilvy & Mather,New York,Creative Agency,USA,,"Business & Industrial, Financial Services, Leisure & Entertainment",95.9
13,INGO,Stockholm,Creative Agency,Sweden,,Transport & Tourism,95.4
14,DigitasLBi,Chicago,Digital/Specialist Agency,USA,,"Retail, Technology & Electronics",90.7
15,AMV BBDO,London,Creative Agency,UK,,"Food, Retail, Soft Drinks, Toiletries & Cosmetics",89.8
16,Leo Burnett,Melbourne,Creative Agency,Australia,,"Food, Non-profit, public sector & education",87.1
17,Mindshare,Istanbul,Media Agency,Turkey,,"Automotive, Business & Industrial, Financial Services, Food, Soft Drinks, Technology & Electronics, Telecoms & Utilities, Toiletries & Cosmetics",86.3
