Rank,Agency Name,City,Agency Type,Agency Location,Independent?,Product Category,Points
96,CHE Proximity,Melbourne,Creative Agency,Australia,,Automotive,20.2
96,J. Walter Thompson,Bangkok,Creative Agency,Thailand,,"Non-profit, public sector & education",20.2
96,Mindshare,Jakarta,Creative Agency,Indonesia,,Toiletries & Cosmetics,20.2
99,UM,Kuala Lumpur,Creative Agency,Malaysia,,Retail,20.1
100,AFFINITY,Sydney,Creative Agency,Australia,X,Pharma & Healthcare,20.0
100,Google,New York,Creative Agency,USA,X,Telecoms & Utilities,20.0
100,Grey,Bogotá,Creative Agency,Colombia,,Media & Publishing,20.0
100,Kinetic,London,Creative Agency,UK,,"Toiletries & Cosmetics, Transport & Tourism",20.0
100,Philipp und Keuntje,Hamburg,Creative Agency,Germany,X,Household & Domestic,20.0
100,R/GA,New York,Creative Agency,USA,,Telecoms & Utilities,20.0
100,Sebton/Co,Stockholm,Creative Agency,Sweden,X,Alcoholic Drinks,20.0
100,Spark Foundry,San Francisco,Creative Agency,USA,,Telecoms & Utilities,20.0
108,Wink,Madrid,Creative Agency,Spain,X,Retail,19.8
109,MediaCom,Jakarta,Creative Agency,Indonesia,,"Soft Drinks, Toiletries & Cosmetics",19.5
110,Weber Shandwick,New York,Creative Agency,USA,,Pharma & Healthcare,19.3
111,Wunderman,Buenos Aires,Creative Agency,Argentina,,"Non-profit, public sector & education, Telecoms & Utilities",19.2
112,VML,São Paulo,Creative Agency,Brazil,,"Media & Publishing, Toiletries & Cosmetics",18.8
112,Red Fuse Communications,New York,Creative Agency,USA,,Toiletries & Cosmetics,18.8
114,OMD,Dusseldorf,Creative Agency,Germany,,"Leisure & Entertainment, Retail",18.7
115,Wavemaker,Mumbai,Creative Agency,India,,Telecoms & Utilities,18.6
116,Carat,London,Creative Agency,UK,,Technology & Electronics,18.1
117,Jung von Matt,Hamburg,Creative Agency,Germany,X,"Automotive, Retail",17.9
117,OMD,Madrid,Creative Agency,Spain,,Retail,17.9
119,DDB,Madrid,Creative Agency,Spain,,"Leisure & Entertainment, Non-profit, public sector & education",17.3
119,Mindshare,Amsterdam,Creative Agency,Netherlands,,"Automotive, Financial Services",17.3
119,Verizon Media,Copenhagen,Creative Agency,Denmark,X,"Non-profit, public sector & education",17.3
122,Toaster,Singapore,Creative Agency,Singapore,X,Technology & Electronics,17.2
123,R/GA,São Paulo,Creative Agency,Brazil,,Financial Services,17.1
124,Digitata Insights,Port Louis,Creative Agency,Mauritius,X,Household & Domestic,16.7
124,Sid Lee Media,Montreal,Creative Agency,Canada,,Leisure & Entertainment,16.7
124,UM,Toronto,Creative Agency,Canada,,Alcoholic Drinks,16.7
124,UM,Los Angeles,Creative Agency,USA,,Media & Publishing,16.7
128,MediaCom,Auckland,Creative Agency,New Zealand,,"Food, Media & Publishing",16.3
128,LDV United,Antwerp,Creative Agency,Belgium,,"Non-profit, public sector & education, Pharma & Healthcare",16.3
130,Giant Spoon,New York,Creative Agency,USA,X,Media & Publishing,16.2
131,Carat,New York,Creative Agency,USA,,Alcoholic Drinks,16.0
131,OMD,Chicago,Creative Agency,USA,,"Retail, Soft Drinks",16.0
131,XPLAIN,Zurich,Creative Agency,Switzerland,X,Soft Drinks,16.0
134,Mindshare,Toronto,Creative Agency,Canada,,"Automotive, Household & Domestic",15.9
135,The Marketing Store,Chicago,Creative Agency,USA,X,Telecoms & Utilities,15.7
136,OMD,Dubai,Creative Agency,United Arab Emirates,,"Automotive, Non-profit, public sector & education",15.6
137,Initiative,Moscow,Creative Agency,Russia,,Toiletries & Cosmetics,15.5
138,Ogilvy,Johannesburg,Creative Agency,South Africa,,Toiletries & Cosmetics,15.4
138,Lodestar UM,Mumbai,Creative Agency,India,,Technology & Electronics,15.4
140,Zenith,London,Creative Agency,UK,,Food,15.2
141,Dentsu,Tokyo,Creative Agency,Japan,,"Leisure & Entertainment, Media & Publishing",15.1
141,Vizeum,Sydney,Creative Agency,Australia,,"Non-profit, public sector & education",15.1
143,WATConsult,Mumbai,Creative Agency,India,,"Non-profit, public sector & education",15.0
144,Initiative,Miami,Creative Agency,USA,,"Automotive, Business & Industrial, Toiletries & Cosmetics",14.9
144,Hakuhodo Kettle,Tokyo,Creative Agency,Japan,,"Media & Publishing, Telecoms & Utilities",14.9
144,Bashful,Sydney,Creative Agency,Australia,X,Leisure & Entertainment,14.9
144,MediaCom,Bangkok,Creative Agency,Thailand,,"Business & Industrial, Non-profit, public sector & education",14.9
148,DDB,Singapore,Creative Agency,Singapore,,Toiletries & Cosmetics,14.8
149,Digitas Liquorice,Cape Town,Creative Agency,South Africa,,"Food, Household & Domestic",14.6
150,Publicis Conseil,Paris,Creative Agency,France,,Media & Publishing,14.5
151,PHD,Lima,Creative Agency,Peru,,Financial Services,14.4
152,TBWA\Brussels,Brussels,Creative Agency,Belgium,,"Media & Publishing, Telecoms & Utilities",13.6
153,FCB,Auckland,Creative Agency,New Zealand,,"Non-profit, public sector & education",13.5
154,J3,New York,Creative Agency,USA,,Toiletries & Cosmetics,13.3
154,McCann,Melbourne,Creative Agency,Australia,,"Household & Domestic, Non-profit, public sector & education",13.3
154,eSSENTIAL Accessibility,Toronto,Creative Agency,Canada,X,Technology & Electronics,13.3
157,Initiative,Lima,Creative Agency,Peru,,Alcoholic Drinks,13.2
157,PHD,San Juan,Creative Agency,Puerto Rico,,Household & Domestic,13.2
157,UM,Buenos Aires,Creative Agency,Argentina,,Toiletries & Cosmetics,13.2
157,UM,Mexico City,Creative Agency,Mexico,,Transport & Tourism,13.2
161,GroupeConnect,Chicago,Creative Agency,USA,,Financial Services,13.0
162,FP7/RUH,Riyadh,Creative Agency,Saudi Arabia,,Financial Services,12.9
163,Golin,Istanbul,Creative Agency,Turkey,,Leisure & Entertainment,12.6
164,Publicis.Sapient,Miami,Creative Agency,USA,,"Alcoholic Drinks, Automotive",12.5
165,BBDO,Bogotá,Creative Agency,Colombia,,"Non-profit, public sector & education, Soft Drinks",12.4
166,Wavemaker,Amsterdam,Creative Agency,Netherlands,,"Retail, Telecoms & Utilities",12.3
166,Droga5,New York,Creative Agency,USA,X,Media & Publishing,12.3
166,Interaction One,Bangalore,Creative Agency,India,X,"Non-profit, public sector & education",12.3
169,Havas Media,Toronto,Creative Agency,Canada,,Food,12.0
169,VM1,New York,Creative Agency,USA,,Telecoms & Utilities,12.0
169,BRAND Et Al,Pretoria,Creative Agency,South Africa,X,Financial Services,12.0
172,AMV BBDO,London,Creative Agency,UK,,"Non-profit, public sector & education",11.7
173,NuWorks Interactive Labs,Pasig,Creative Agency,Philippines,X,Toiletries & Cosmetics,11.1
173,Wavemaker,Taipei,Creative Agency,Taiwan,,Media & Publishing,11.1
173,zMessenger,Colombo,Creative Agency,Sri Lanka,X,"Non-profit, public sector & education",11.1
176,Initiative,Dubai,Creative Agency,United Arab Emirates,,"Automotive, Transport & Tourism",10.7
176,PHD,Hong Kong,Creative Agency,Hong Kong,,"Food, Retail",10.7
178,Digitas,San Francisco,Creative Agency,USA,,Transport & Tourism,10.4
178,Vibes,Chicago,Creative Agency,USA,X,Retail,10.4
180,Carat,Sydney,Creative Agency,Australia,,Financial Services,10.2
180,Cummins&Partners,Melbourne,Creative Agency,Australia,X,"Non-profit, public sector & education",10.2
180,Starcom,Singapore,Creative Agency,Singapore,,Technology & Electronics,10.2
180,Wavemaker,Bangkok,Creative Agency,Thailand,,Automotive,10.2
180,Carat,Dubai,Creative Agency,United Arab Emirates,,Automotive,10.2
185,Barton F. Graf,New York,Creative Agency,USA,X,"Non-profit, public sector & education",10.0
185,Buzzman,Paris,Creative Agency,France,X,Transport & Tourism,10.0
185,Carat,Stockholm,Creative Agency,Sweden,,Retail,10.0
185,Energy BBDO,Chicago,Creative Agency,USA,,Food,10.0
185,Fitzco//McCann,Atlanta,Creative Agency,USA,,Soft Drinks,10.0
185,Grey,Madrid,Creative Agency,Spain,,Retail,10.0
185,Merkle,New York,Creative Agency,USA,,Media & Publishing,10.0
185,Mother,New York,Creative Agency,USA,X,"Non-profit, public sector & education",10.0
185,OMD,Barcelona,Creative Agency,Spain,,Financial Services,10.0
185,OMD,Los Angeles,Creative Agency,USA,,Technology & Electronics,10.0
185,PHD,Brussels,Creative Agency,Belgium,,Telecoms & Utilities,10.0
185,Rethink,Toronto,Creative Agency,Canada,X,Transport & Tourism,10.0
185,Serviceplan,Munich,Creative Agency,Germany,X,Automotive,10.0
185,Starcom,Moscow,Creative Agency,Russia,,Household & Domestic,10.0
185,The Monkeys,Sydney,Creative Agency,Australia,,"Non-profit, public sector & education",10.0
185,Uncle Grey,Copenhagen,Creative Agency,Denmark,,Technology & Electronics,10.0
185,Vizeum,Melbourne,Creative Agency,Australia,,Alcoholic Drinks,10.0
185,Vizeum,Hamburg,Creative Agency,Germany,,Retail,10.0
185,Vizeum,Oslo,Creative Agency,Norway,,Financial Services,10.0
204,Essence,Jakarta,Creative Agency,Indonesia,,Technology & Electronics,9.8
204,Redder Advertising,Ho Chi Minh City,Creative Agency,Vietnam,X,"Retail, Soft Drinks",9.8
204,Zenith,Singapore,Creative Agency,Singapore,,Transport & Tourism,9.8
204,PHD,Chicago,Creative Agency,USA,,"Non-profit, public sector & education",9.8
208,Gorilla,Durban,Creative Agency,South Africa,X,Toiletries & Cosmetics,9.7
209,BBDO,Lahore,Creative Agency,Pakistan,,"Non-profit, public sector & education",9.4
210,Carmichael Lynch,Minneapolis,Creative Agency,USA,,Automotive,9.0
210,Exverus Media,Los Angeles,Creative Agency,USA,X,Soft Drinks,9.0
210,McKinney,Durham,Creative Agency,USA,X,Household & Domestic,9.0
210,Spark Foundry,Chicago,Creative Agency,USA,,Pharma & Healthcare,9.0
210,Twitch,New Jersey,Creative Agency,USA,X,Soft Drinks,9.0
210,Wieden+Kennedy,Portland,Creative Agency,USA,X,Food,9.0
216,MediaCom,Beijing,Creative Agency,China (Mainland),,Pharma & Healthcare,8.8
216,MediaCom,San Juan,Creative Agency,Puerto Rico,,Food,8.8
216,OMD,Miami,Creative Agency,USA,,Business & Industrial,8.8
216,Reprise,Montevideo,Creative Agency,Uruguay,,Toiletries & Cosmetics,8.8
220,Havas Media,Jakarta,Creative Agency,Indonesia,,"Media & Publishing, Soft Drinks",8.6
220,TBWA\RAAD,Dubai,Creative Agency,United Arab Emirates,,"Automotive, Telecoms & Utilities",8.6
222,Creative Digital Agency,San Ramon,Creative Agency,USA,X,Household & Domestic,8.3
222,Havas Media,Bogotá,Creative Agency,Colombia,,"Non-profit, public sector & education",8.3
222,McCann,Bucharest,Creative Agency,Romania,,Food,8.3
222,OMD,Stockholm,Creative Agency,Sweden,,Retail,8.3
222,Starcom,Lima,Creative Agency,Peru,,Retail,8.3
222,UM,Bucharest,Creative Agency,Romania,,Retail,8.3
222,Wavemaker,Hong Kong,Creative Agency,Hong Kong,,Retail,8.3
229,Impact BBDO,Dubai,Creative Agency,United Arab Emirates,,Leisure & Entertainment,8.2
229,The Media Shop,Johannesburg,Creative Agency,South Africa,X,Retail,8.2
231,Amplero,Seattle,Creative Agency,USA,X,Telecoms & Utilities,8.0
231,Annalect,Shanghai,Creative Agency,China (Mainland),,Clothing & Accessories,8.0
