Rank,Brand,Product Category,Points,,
140,Kenco,Soft Drinks,24.9,,
141,Asociación Defensora de Animales,"Non-profit, public sector & education",24.8,,
141,Gerber,Food,24.8,,
141,United Nations OCHA,"Non-profit, public sector & education",24.8,,
141,Domino's Pizza,Retail,24.8,,
145,Valspar,Household & Domestic,24.7,,
145,WestJet Airlines,Transport & Tourism,24.7,,
147,Alipay,Financial Services,24.4,,
147,Renault,Automotive,24.4,,
149,Verizon Wireless,Telecoms & Utilities,24.3,,
149,Jacobs Monarch,Soft Drinks,24.3,,
149,Kotex,Pharma & Healthcare,24.3,,
149,Mike's Hard Lemonade,Soft Drinks,24.3,,
149,Plataforma de Afectados por la Hipoteca (PAH),"Non-profit, public sector & education",24.3,,
149,Ostashkov Department of Housing,"Non-profit, public sector & education",24.3,,
149,Mentos,Food,24.3,,
149,TD Canada Trust,Financial Services,24.3,,
149,Countdown,Retail,24.3,,
158,Fiat,Automotive,24.1,,
159,Spies,Transport & Tourism,24.0,,
159,Lacta,Food,24.0,,
161,Mars,Food,23.9,,
162,Samsung,Technology & Electronics,23.8,,
163,Nivea,Toiletries & Cosmetics,23.5,,
164,IBM,Business & Industrial,23.3,,
165,Fanta,Soft Drinks,23.1,,
165,Opel,Automotive,23.1,,
167,T-Mobile,Telecoms & Utilities,22.9,,
168,Promote Iceland,Transport & Tourism,22.7,,
169,Ministry of National Education,"Non-profit, public sector & education",22.5,,
170,Airbnb,Transport & Tourism,22.1,,
171,Clight,Soft Drinks,22.0,,
172,UNACEM,Business & Industrial,21.8,,
172,Rip Curl,Clothing & Accessories,21.8,,
172,SmartLife,"Non-profit, public sector & education",21.8,,
175,Comfort,Household & Domestic,21.6,,
175,FarEasTone,Telecoms & Utilities,21.6,,
175,Philippines Department of Tourism,Transport & Tourism,21.6,,
178,Boeing,Business & Industrial,21.3,,
178,Legoland Florida Resort,Transport & Tourism,21.3,,
178,American Cancer Society,"Non-profit, public sector & education",21.3,,
178,Seamless,Retail,21.3,,
182,NSW Rural Fire Service,"Non-profit, public sector & education",21.2,,
183,Telenet,Telecoms & Utilities,21.0,,
183,Meyhanedeyiz.biz,Retail,21.0,,
185,Grupo Aval Acciones y Valores S.A.,Financial Services,20.9,,
185,Smirnoff,Alcoholic Drinks,20.9,,
187,Backus & Johnston,Alcoholic Drinks,20.8,,
187,Dunkin' Donuts,Retail,20.8,,
187,Newcastle Brown Ale,Alcoholic Drinks,20.8,,
187,Extra Gum,Food,20.8,,
191,Jameson,Alcoholic Drinks,20.3,,
191,Vlaamse Parkinson Liga (Flemish Parkinson Association),"Non-profit, public sector & education",20.3,,
193,NSPCC,"Non-profit, public sector & education",20.0,,
193,Fonterra,Soft Drinks,20.0,,
195,Progressive Insurance,Financial Services,19.9,,
195,Emirates,Financial Services,19.9,,
195,Hasbro,Retail,19.9,,
198,History Channel,Media & Publishing,19.8,,
198,Naked Emerging Brands,Soft Drinks,19.8,,
200,WaterWipes,Household & Domestic,19.5,,
201,Bijoux Indiscrets,Leisure & Entertainment,19.4,,
201,PayPal,Financial Services,19.4,,
201,Huggies,Toiletries & Cosmetics,19.4,,
204,O Boticário,Toiletries & Cosmetics,19.3,,
204,Tigo,Telecoms & Utilities,19.3,,
206,House of Cards,Media & Publishing,19.2,,
207,Royal British Legion,"Non-profit, public sector & education",19.1,,
207,Plusnet,Telecoms & Utilities,19.1,,
207,Wall's,Food,19.1,,
207,The Guardian & Observer,Media & Publishing,19.1,,
211,Panales Winny,Business & Industrial,18.9,,
211,Peugeot,Automotive,18.9,,
213,Similac,Food,18.6,,
213,Amopé Pedi Perfect™,Household & Domestic,18.6,,
213,GEICO,Financial Services,18.6,,
213,FLONASE Allergy Relief,Pharma & Healthcare,18.6,,
217,Tesco,Retail,18.5,,
218,Fundación Éxito,"Non-profit, public sector & education",18.3,,
218,Sadia,Food,18.3,,
220,Deadpool,Media & Publishing,18.2,,
221,Bajaj Motorcycles,Automotive,17.9,,
221,Dettol,Toiletries & Cosmetics,17.9,,
223,Decathlon,Retail,17.8,,
224,Intel,Business & Industrial,17.7,,
225,Samaritans of Singapore,"Non-profit, public sector & education",17.6,,
226,Hell Pizza,Retail,17.4,,
226,Meat & Livestock Australia,Food,17.4,,
228,Optus,Telecoms & Utilities,17.3,,
228,Foodstuffs,Retail,17.3,,
228,Kleenex,Household & Domestic,17.3,,
231,Orange,Telecoms & Utilities,17.2,,
231,Unilever,Toiletries & Cosmetics,17.2,,
231,Jaguar Land Rover,Automotive,17.2,,
231,Melbourne International Film Festival,Leisure & Entertainment,17.2,,
235,Idea Cellular,Telecoms & Utilities,17.1,,
236,Fundación Favaloro,Pharma & Healthcare,17.0,,
237,MS Limited Australia,"Non-profit, public sector & education",16.9,,
238,Tanishq,Retail,16.7,,
238,Boundary Road Brewery,Alcoholic Drinks,16.7,,
238,Bank of New Zealand,Financial Services,16.7,,
238,Santander,Financial Services,16.7,,
242,University of Engineering and Technology Admissions 2016,"Non-profit, public sector & education",16.4,,
243,Kofola,Soft Drinks,16.2,,
244,Kingsford Charcoal,Household & Domestic,16.1,,
244,Lowe's,Retail,16.1,,
244,Chobani,Food,16.1,,
244,PAN,Media & Publishing,16.1,,
