Rank,Agency Name,City,Agency Type,Agency Location,Independent?,Product Category,Points
55,Y&R,São Paulo,Creative Agency,Brazil,,"Business & Industrial, Media & Publishing, Non-profit, public sector & education, Pharma & Healthcare, Technology & Electronics",53.6
56,Marcel,Paris,Creative Agency,France,,Retail,53.0
57,Geometry,Prague,Creative Agency,Czech Republic,,Technology & Electronics,52.9
57,BBDO,Lahore,Creative Agency,Pakistan,,"Non-profit, public sector & education, Soft Drinks",52.9
59,Impact BBDO,Dubai,Creative Agency,United Arab Emirates,,"Food, Leisure & Entertainment, Retail, Toiletries & Cosmetics",52.3
60,Deloitte Digital,Melbourne,Creative Agency,Australia,X,"Non-profit, public sector & education, Pharma & Healthcare",52.0
61,DDB,Berlin,Creative Agency,Germany,,"Automotive, Non-profit, public sector & education, Retail",50.5
62,BBH,London,Creative Agency,UK,,"Automotive, Transport & Tourism",50.2
63,23 Stories,New York,Creative Agency,USA,,Media & Publishing,50.0
64,Area 23,New York,Creative Agency,USA,,"Non-profit, public sector & education",49.7
65,Cheil Worldwide,Hong Kong,Creative Agency,Hong Kong,X,"Leisure & Entertainment, Technology & Electronics",49.5
66,McCann,Barcelona,Creative Agency,Spain,,"Leisure & Entertainment, Retail",49.4
67,Serviceplan,Paris,Creative Agency,France,X,"Food, Non-profit, public sector & education",49.1
68,Cummins&Partners,Sydney,Creative Agency,Australia,X,"Non-profit, public sector & education",48.7
69,McCann,Mumbai,Creative Agency,India,,"Financial Services, Household & Domestic, Leisure & Entertainment, Non-profit, public sector & education",48.3
70,Maruri Grey,Guayaquil,Creative Agency,Ecuador,,"Non-profit, public sector & education, Transport & Tourism",47.6
71,R/GA,London,Creative Agency,UK,,"Financial Services, Technology & Electronics",46.4
71,thjnk,Hamburg,Creative Agency,Germany,,"Automotive, Retail",46.4
73,Ogilvy,Cape Town,Creative Agency,South Africa,,"Alcoholic Drinks, Automotive, Retail",44.7
74,DDB,Düsseldorf,Creative Agency,Germany,,Household & Domestic,44.3
75,DDB,Bogotá,Creative Agency,Colombia,,"Alcoholic Drinks, Leisure & Entertainment, Media & Publishing",44.1
76,Prolam Y&R,Santiago,Creative Agency,Chile,,"Food, Leisure & Entertainment, Media & Publishing, Telecoms & Utilities",43.8
77,GreyNJ United,Bangkok,Creative Agency,Thailand,,"Automotive, Financial Services, Food",43.5
78,Pagés BBDO,Santo Domingo,Creative Agency,Dominican Republic,,"Non-profit, public sector & education",43.3
79,VML,Kansas City,Creative Agency,USA,,"Retail, Soft Drinks",43.0
80,King James,Cape Town,Creative Agency,South Africa,X,"Alcoholic Drinks, Financial Services",42.9
81,Innored,Seoul,Creative Agency,South Korea,X,Soft Drinks,41.9
82,DAVID,Buenos Aires,Creative Agency,Argentina,,"Pharma & Healthcare, Retail",41.3
83,360i,New York,Creative Agency,USA,,Media & Publishing,40.0
84,R/GA,São Paulo,Creative Agency,Brazil,,Financial Services,39.7
85,Cossette,Toronto,Creative Agency,Canada,,"Leisure & Entertainment, Non-profit, public sector & education, Retail",39.1
86,J. Walter Thompson,London,Creative Agency,UK,,"Non-profit, public sector & education",38.9
86,Publicis Conseil,Paris,Creative Agency,France,,Media & Publishing,38.9
88,TBWA\Thailand,Bangkok,Creative Agency,Thailand,,Retail,38.0
89,TBWA\Hunt\Lascaris,Johannesburg,Creative Agency,South Africa,,"Financial Services, Leisure & Entertainment, Pharma & Healthcare, Telecoms & Utilities",37.1
90,Y&R,Prague,Creative Agency,Czech Republic,,"Financial Services, Leisure & Entertainment, Media & Publishing, Non-profit, public sector & education",36.9
91,M&C Saatchi,Sydney,Creative Agency,Australia,X,Financial Services,36.7
92,BBH,Singapore,Creative Agency,Singapore,,"Clothing & Accessories, Retail",36.3
93,Hakuhodo,Tokyo,Creative Agency,Japan,,"Automotive, Clothing & Accessories, Food, Media & Publishing, Technology & Electronics",36.2
94,R/GA,New York,Creative Agency,USA,,"Technology & Electronics, Telecoms & Utilities",35.9
95,Six Inc.,Tokyo,Creative Agency,Japan,,Business & Industrial,35.2
95,Spa-Hakuhodo,Bangkok,Creative Agency,Thailand,,Business & Industrial,35.2
97,BBDO,Paris,Creative Agency,France,,"Household & Domestic, Non-profit, public sector & education",35.0
98,We Are Unlimited,Chicago,Creative Agency,USA,,Retail,34.9
99,BWM Dentsu,Melbourne,Creative Agency,Australia,,"Non-profit, public sector & education",34.0
100,Ogilvy,Johannesburg,Creative Agency,South Africa,,"Media & Publishing, Retail, Toiletries & Cosmetics",33.1
101,Pol,Oslo,Creative Agency,Norway,X,"Automotive, Financial Services",33.0
