Rank,Agency Name,City,Agency Type,Agency Location,Product Category,Points
71,Goodby Silverstein & Partners,San Francisco,Creative Agency,USA,"Automotive, Non-profit, public sector & education, Telecoms & Utilities",49.6
72,TBWA\Paris,Paris,Creative Agency,France,"Retail, Technology & Electronics",49.1
73,Ogilvy,Johannesburg,Creative Agency,South Africa,"Alcoholic Drinks, Financial Services, Food, Pharma & Healthcare, Retail, Technology & Electronics",48.9
74,Fahrenheit DDB,Lima,Creative Agency,Peru,"Alcoholic Drinks, Retail",48.6
75,R/GA,New York,Digital/Specialist Agency,USA,"Clothing & Accessories, Leisure & Entertainment, Technology & Electronics",48.5
76,Santo,Buenos Aires,Creative Agency,Argentina,"Alcoholic Drinks, Financial Services, Household & Domestic, Soft Drinks",48.3
77,TBWA\Melbourne,Melbourne,Creative Agency,Australia,Financial Services,46.1
78,Wing,New York,Creative Agency,USA,"Non-profit, public sector & education",43.9
79,Isobar,Shanghai,Digital/Specialist Agency,China (Mainland),Retail,43.1
80,Mother,London,Creative Agency,UK,"Non-profit, public sector & education, Retail",42.5
81,VMLY&R,Mexico City,Creative Agency,Mexico,"Financial Services, Leisure & Entertainment, Media & Publishing, Non-profit, public sector & education, Telecoms & Utilities",42.1
82,BBDO,Toronto,Creative Agency,Canada,"Non-profit, public sector & education",42
83,DDB,Düsseldorf,Creative Agency,Germany,"Household & Domestic, Telecoms & Utilities",41.7
84,Wunderman Thompson,Bangkok,Creative Agency,Thailand,"Media & Publishing, Toiletries & Cosmetics",41.6
85,INGO,Stockholm,Creative Agency,Sweden,Retail,41.3
86,Mother,New York,Creative Agency,USA,"Clothing & Accessories, Non-profit, public sector & education",40.9
87,FCB,Chicago,Creative Agency,USA,"Automotive, Non-profit, public sector & education",40.8
88,Grabarz & Partner,Hamburg,Creative Agency,Germany,"Automotive, Retail",40.6
89,JohnXHannes,New York,Creative Agency,USA,"Business & Industrial, Pharma & Healthcare",40.2
90,MRM//McCann,Frankfurt,Digital/Specialist Agency,Germany,"Non-profit, public sector & education",39.4
91,72andSunny,New York,Creative Agency,USA,Food,39.2
91,Mercado McCann,Buenos Aires,Creative Agency,Argentina,"Business & Industrial, Media & Publishing, Soft Drinks",39.2
93,Leo Burnett,Chicago,Creative Agency,USA,"Food, Soft Drinks",38.4
94,VMLY&R,Santiago,Creative Agency,Chile,"Leisure & Entertainment, Non-profit, public sector & education",38.3
95,Tech and Soul,São Paulo,Creative Agency,Brazil,Transport & Tourism,38.1
96,Ogilvy,São Paulo,Creative Agency,Brazil,"Media & Publishing, Retail",37.1
97,Arnold Worldwide,Boston,Creative Agency,USA,"Business & Industrial, Financial Services, Technology & Electronics",36.4
98,Casanova//McCann,Costa Mesa,Creative Agency,USA,"Non-profit, public sector & education",36.3
98,McCann,Toronto,Creative Agency,Canada,"Non-profit, public sector & education",36.3
100,BBDO,Bangkok,Creative Agency,Thailand,"Automotive, Retail, Technology & Electronics",36.1
101,Impact BBDO,Beirut,Creative Agency,Lebanon,"Media & Publishing, Non-profit, public sector & education",35.1
