Rank,Agency Name,City,Agency Type,Agency Location,Independent?,Product Category,Points
316,Edible,New York,Creative Agency,USA,,"Non-profit, public sector & education",9.5
316,Initiative,Los Angeles,Creative Agency,USA,,Alcoholic Drinks,9.5
316,The Marketing Store,Chicago,Creative Agency,USA,X,Telecoms & Utilities,9.5
316,Conversation LAB,Cape Town,Creative Agency,South Africa,X,Automotive,9.5
316,Digitata Insights,Johannesburg,Creative Agency,South Africa,X,Financial Services,9.5
316,Digitouch,Istanbul,Creative Agency,Turkey,X,Financial Services,9.5
323,Adsmovil,Bogota,Creative Agency,Colombia,X,Alcoholic Drinks,9.2
323,OMD,Bogota,Creative Agency,Colombia,,Alcoholic Drinks,9.2
325,Campfire at SapientRazorfish,New York,Creative Agency,USA,,Retail,9.1
325,DDB,Paris,Creative Agency,France,,Technology & Electronics,9.1
325,FCB,Chicago,Creative Agency,USA,,Household & Domestic,9.1
325,Grey,London,Creative Agency,UK,,"Non-profit, public sector & education",9.1
325,Johannes Leonardo,New York,Creative Agency,USA,X,Clothing & Accessories,9.1
325,Jung von Matt,Zurich,Creative Agency,Switzerland,,Media & Publishing,9.1
325,Lola MullenLowe,Madrid,Creative Agency,Spain,,Retail,9.1
325,Marcel,Paris,Creative Agency,France,,Pharma & Healthcare,9.1
325,McCann Health,Mumbai,Creative Agency,India,,"Non-profit, public sector & education",9.1
325,Misfits,Dubai,Creative Agency,United Arab Emirates,X,Transport & Tourism,9.1
325,Neogama,Sao Paulo,Creative Agency,Brazil,X,Clothing & Accessories,9.1
325,New360,Belo Horizonte,Creative Agency,Brazil,X,"Non-profit, public sector & education",9.1
325,Ogilvy,Bogota,Creative Agency,Colombia,,"Non-profit, public sector & education",9.1
325,Ogilvy,Frankfurt,Creative Agency,Germany,,Soft Drinks,9.1
325,Ogilvy & Mather,Nairobi,Creative Agency,Kenya,,"Non-profit, public sector & education",9.1
325,OMD,Chicago,Creative Agency,USA,,Soft Drinks,9.1
325,Publicis,Sao Paulo,Creative Agency,Brazil,,Alcoholic Drinks,9.1
325,Starcom,Amsterdam,Creative Agency,Netherlands,,Alcoholic Drinks,9.1
325,Tinder,Los Angeles,Creative Agency,USA,X,"Non-profit, public sector & education",9.1
325,Vizeum,Cape Town,Creative Agency,South Africa,,Alcoholic Drinks,9.1
325,VML,Cape Town,Creative Agency,South Africa,,Alcoholic Drinks,9.1
325,Wavemaker,Manila,Creative Agency,Philippines,,Automotive,9.1
325,Wing,New York,Creative Agency,USA,,Food,9.1
325,Wink TTD,Madrid,Creative Agency,Spain,X,Retail,9.1
325,Y&R,Milan,Creative Agency,Italy,,Pharma & Healthcare,9.1
325,Y&R,Manila,Creative Agency,Philippines,,Automotive,9.1
