Rank,Agency Name,City,Agency Type,Agency Location,Independent?,Product Category,Points
64,Havas,London,Creative Agency,UK,,"Automotive, Business & Industrial, Financial Services, Technology & Electronics",59.4
65,Dentsu Smart,Moscow,Creative Agency,Russia,,Financial Services,56.6
65,Good,Moscow,Creative Agency,Russia,X,Financial Services,56.6
67,the7stars,London,Creative Agency,UK,X,"Automotive, Leisure & Entertainment, Transport & Tourism",56.5
68,BBH,Singapore,Creative Agency,Singapore,,Clothing & Accessories,56.3
69,UM,Dubai,Creative Agency,United Arab Emirates,,"Retail, Soft Drinks",54.4
70,Havas,Sydney,Creative Agency,Australia,,"Food, Non-profit, public sector & education",53.5
71,Ogilvy,Melbourne,Creative Agency,Australia,,Financial Services,52.8
72,Serviceplan,Paris,Creative Agency,France,,"Non-profit, public sector & education",52.6
73,MRM//McCann,New York,Creative Agency,USA,,"Non-profit, public sector & education, Technology & Electronics",51.4
73,Dentsu,Tokyo,Creative Agency,Japan,,"Food, Media & Publishing, Technology & Electronics",51.4
75,Magna,Cairo,Creative Agency,Egypt,,Soft Drinks,50.7
76,Grey,Sao Paulo,Creative Agency,Brazil,,"Household & Domestic, Non-profit, public sector & education, Technology & Electronics",50.4
77,OMD,San Jose,Creative Agency,Costa Rica,,"Non-profit, public sector & education",50.0
78,Anomaly,Toronto,Creative Agency,Canada,X,Alcoholic Drinks,48.6
79,CJ Worx,Bangkok,Creative Agency,Thailand,X,Business & Industrial,47.9
80,MediaCom,Oslo,Creative Agency,Norway,,Automotive,46.6
81,Havas,Sydney,Creative Agency,Australia,,"Non-profit, public sector & education",46.4
81,McCann,Mumbai,Creative Agency,India,,"Financial Services, Non-profit, public sector & education",46.4
83,J. Walter Thompson,Bogota,Creative Agency,Colombia,,"Clothing & Accessories, Food, Non-profit, public sector & education",46.0
84,Vertic,New York,Creative Agency,USA,X,"Business & Industrial, Technology & Electronics",45.7
84,Havas,Paris,Creative Agency,France,,Media & Publishing,45.7
84,TBWA\Neboko,Amsterdam,Creative Agency,Netherlands,,"Leisure & Entertainment, Retail, Soft Drinks",45.7
87,4Creative,London,Creative Agency,UK,X,Media & Publishing,45.4
88,Kausa Havas,Asuncion,Creative Agency,Paraguay,,"Alcoholic Drinks, Non-profit, public sector & education",45.0
89,MediaCom,Tel Aviv,Creative Agency,Israel,,Toiletries & Cosmetics,44.9
89,Starcom,Stockholm,Creative Agency,Sweden,,"Retail, Technology & Electronics",44.9
89,Carat,Shanghai,Creative Agency,China (Mainland),,"Food, Household & Domestic",44.9
92,OMD,Hong Kong,Creative Agency,Hong Kong,,"Household & Domestic, Retail",44.1
92,Zenith,New York,Creative Agency,USA,,Toiletries & Cosmetics,44.1
94,J3,New York,Creative Agency,USA,,Toiletries & Cosmetics,43.3
95,Drum,London,Creative Agency,UK,,"Media & Publishing, Non-profit, public sector & education",42.9
